QID,Labels,Frequency,Linked,Lemma,WN Description,Manual Review Section,Accept,Not an occupation,Notes,Correct Wikidata
http://www.wikidata.org/entity/Q188094,"economist, economists",51254,https://en-word.net/id/oewn-https://en-word.net/id/oewn-10063451-n,"economic expert, economist",an expert in the science of economics,manual_review_multi.csv,TRUE,FALSE,,
http://www.wikidata.org/entity/Q189290,"military officer, officer, military official",50701,https://en-word.net/id/oewn-https://en-word.net/id/oewn-10336665-n,"officer, military officer",any person in the armed services who holds a position of authority or command; an officer is responsible for the lives of his men,manual_review_gf.csv,TRUE,FALSE,,
http://www.wikidata.org/entity/Q193391,diplomat,50301,https://en-word.net/id/oewn-https://en-word.net/id/oewn-10034403-n,diplomat,a person who deals tactfully with others,manual_review_gf.csv,FALSE,FALSE,,
http://www.wikidata.org/entity/Q193391,diplomat,50301,https://en-word.net/id/oewn-https://en-word.net/id/oewn-10033672-n,"diplomat, diplomatist",an official engaged in international negotiations,manual_review_multi.csv,TRUE,FALSE,,
http://www.wikidata.org/entity/Q81096,engineer,50086,https://en-word.net/id/oewn-https://en-word.net/id/oewn-09638837-n,"technologist, applied scientist, engineer",a person who uses scientific knowledge to solve practical problems,manual_review_gf.csv,TRUE,FALSE,,
http://www.wikidata.org/entity/Q3282637,"film producer, movie producer, producer",43326,https://en-word.net/id/oewn-https://en-word.net/id/oewn-10108159-n,"film maker, film producer, filmmaker, movie maker",a producer of motion pictures,manual_review_yovisto.csv,TRUE,FALSE,,
http://www.wikidata.org/entity/Q16533,"judge, magistrate, justice",43290,https://en-word.net/id/oewn-https://en-word.net/id/oewn-10244889-n,"justice, judge, jurist",a public official authorized to decide questions brought before a court of justice,manual_review_multi.csv,TRUE,FALSE,,
http://www.wikidata.org/entityQ1234713,"theologian, theologist",42098,https://en-word.net/id/oewn-10725264-n,,,Confirmed,TRUE,FALSE,,
http://www.wikidata.org/entity/Q170790,mathematician,40795,https://en-word.net/id/oewn-https://en-word.net/id/oewn-10320928-n,mathematician,a person skilled in mathematics,manual_review_multi.csv,TRUE,FALSE,,
http://www.wikidata.org/entity/Q10871364,"baseball player, baseballer",39580,https://en-word.net/id/oewn-https://en-word.net/id/oewn-09854894-n,"ballplayer, baseball player",an athlete who plays baseball,manual_review_gf.csv,TRUE,FALSE,,
http://www.wikidata.org/entity/Q901,"scientist, natural philosopher",39057,https://en-word.net/id/oewn-https://en-word.net/id/oewn-10580065-n,scientist,a person with advanced knowledge of one or more sciences,manual_review_multi.csv,TRUE,FALSE,,
http://www.wikidata.org/entity/Q212238,"civil servant, public servant, government official",37156,https://en-word.net/id/oewn-https://en-word.net/id/oewn-10510721-n,public servant,someone who holds a government position (either by election or appointment),manual_review_gf.csv,TRUE,FALSE,,
http://www.wikidata.org/entity/Q1231865,"pedagogue, educationalist, paedagogue",36033,https://en-word.net/id/oewn-https://en-word.net/id/oewn-10065262-n,"educationalist, educationist",a specialist in the theory of education,manual_review_gf.csv,TRUE,FALSE,,
http://www.wikidata.org/entity/Q4964182,philosopher,34201,https://en-word.net/id/oewn-https://en-word.net/id/oewn-10445710-n,philosopher,a wise person who is calm and rational; someone who lives a life of reason with equanimity,manual_review_gf.csv,FALSE,FALSE,,
http://www.wikidata.org/entity/Q4964182,philosopher,34201,https://en-word.net/id/oewn-https://en-word.net/id/oewn-10443334-n,philosopher,a specialist in philosophy,manual_review_multi.csv,TRUE,FALSE,,
http://www.wikidata.org/entity/Q131524,"entrepreneur, undertaking",33549,https://en-word.net/id/oewn-https://en-word.net/id/oewn-10080160-n,"enterpriser, entrepreneur",someone who organizes a business venture and assumes the risk for it,manual_review_gf.csv,TRUE,FALSE,,
http://www.wikidata.org/entity/Q169470,physicist,32948,https://en-word.net/id/oewn-https://en-word.net/id/oewn-10447768-n,physicist,a scientist trained in physics,manual_review_multi.csv,TRUE,FALSE,,
http://www.wikidata.org/entity/Q644687,"illustrator, book illustrator",31976,https://en-word.net/id/oewn-https://en-word.net/id/oewn-09831473-n,illustrator,an artist who makes illustrations (for books or magazines or advertisements etc.),manual_review_multi.csv,TRUE,FALSE,,
http://www.wikidata.org/entity/Q6625963,"novelist, novel author, novel writer",31838,https://en-word.net/id/oewn-https://en-word.net/id/oewn-10383272-n,novelist,one who writes novels,manual_review_multi.csv,TRUE,FALSE,,
http://www.wikidata.org/entity/Q593644,"chemist, chemists",31226,https://en-word.net/id/oewn-https://en-word.net/id/oewn-09933282-n,chemist,a scientist who specializes in chemistry,manual_review_multi.csv,TRUE,FALSE,,
http://www.wikidata.org/entity/Q121594,"professor, Prof.",29733,https://en-word.net/id/oewn-https://en-word.net/id/oewn-10500315-n,"prof, professor",someone who is a member of the faculty at a college or university,manual_review_babel.csv,TRUE,FALSE,,
http://www.wikidata.org/entity/Q1792450,"art historian, historian of art",26453,https://en-word.net/id/oewn-https://en-word.net/id/oewn-09830819-n,art historian,a historian of art,manual_review_gf.csv,TRUE,FALSE,,
http://www.wikidata.org/entity/Q753110,"songwriter, song writer",25372,https://en-word.net/id/oewn-https://en-word.net/id/oewn-10643902-n,"songster, songwriter, ballad maker",a composer of words or music for popular songs,manual_review_babel.csv,TRUE,FALSE,,
http://www.wikidata.org/entity/Q10873124,chess player,25103,https://en-word.net/id/oewn-https://en-word.net/id/oewn-09935292-n,chess player,someone who plays the game of chess,manual_review_gf.csv,TRUE,FALSE,,
http://www.wikidata.org/entity/Q3055126,entomologist,24756,https://en-word.net/id/oewn-https://en-word.net/id/oewn-10079712-n,"bug-hunter, bugologist, entomologist",a zoologist who studies insects,manual_review_gf.csv,TRUE,FALSE,,
http://www.wikidata.org/entity/Q486748,pianist,24621,https://en-word.net/id/oewn-https://en-word.net/id/oewn-10450429-n,"pianist, piano player",a person who plays the piano,manual_review_multi.csv,TRUE,FALSE,,
http://www.wikidata.org/entityQ3621491,"archaeologist, archeologist, arky",23519,https://en-word.net/id/oewn-09824229-n,,,Confirmed,TRUE,FALSE,,
http://www.wikidata.org/entity/Q2066131,"athlete, sportsman, sportswoman",23290,https://en-word.net/id/oewn-https://en-word.net/id/oewn-09839665-n,"jock, athlete",a person trained to compete in sports,manual_review_multi.csv,TRUE,FALSE,,
http://www.wikidata.org/entityQ214917,"playwright, dramatist, playwrite",22567,https://en-word.net/id/oewn-10050002-n,,,Confirmed,TRUE,FALSE,,
http://www.wikidata.org/entity/Q82594,"computer scientist, computer specialist, computer professional",22248,https://en-word.net/id/oewn-https://en-word.net/id/oewn-09970549-n,computer scientist,a scientist who specializes in the theory of computation and the design of computers,manual_review_babel.csv,TRUE,FALSE,,
http://www.wikidata.org/entity/Q158852,"conductor, music directors, orchestra conductor",21857,https://en-word.net/id/oewn-https://en-word.net/id/oewn-09972018-n,"conductor, director, music director",the person who leads a musical group,manual_review_babel.csv,TRUE,FALSE,,
http://www.wikidata.org/entity/Q2516866,"publisher, publishing director",21569,https://en-word.net/id/oewn-https://en-word.net/id/oewn-10510894-n,publisher,a person engaged in publishing periodicals or books or music,manual_review_gf.csv,TRUE,FALSE,,
http://www.wikidata.org/entity/Q182436,librarian,21299,https://en-word.net/id/oewn-https://en-word.net/id/oewn-10277645-n,"bibliothec, librarian",a professional person trained in library science and engaged in library services,manual_review_multi.csv,TRUE,FALSE,,
http://www.wikidata.org/entity/Q212980,"psychologist, psychologists",21275,https://en-word.net/id/oewn-https://en-word.net/id/oewn-10508450-n,psychologist,a scientist trained in psychology,manual_review_multi.csv,TRUE,FALSE,,
http://www.wikidata.org/entity/Q2306091,sociologist,19912,https://en-word.net/id/oewn-https://en-word.net/id/oewn-10640274-n,sociologist,a social scientist who studies the institutions and development of human society,manual_review_gf.csv,TRUE,FALSE,,
http://www.wikidata.org/entity/Q864503,biologist,19507,https://en-word.net/id/oewn-https://en-word.net/id/oewn-09875036-n,"biologist, life scientist",(biology) a scientist who studies living organisms,manual_review_multi.csv,TRUE,FALSE,,
http://www.wikidata.org/entityQ1238570,"political scientist, political scientists, politologist",18096,https://en-word.net/id/oewn-10469735-n,,,Confirmed,TRUE,FALSE,,
http://www.wikidata.org/entity/Q215536,merchant,17734,https://en-word.net/id/oewn-https://en-word.net/id/oewn-10329563-n,"merchandiser, merchant",a businessperson engaged in retail trade,manual_review_multi.csv,TRUE,FALSE,,
http://www.wikidata.org/entity/Q10843402,swimmer,17637,https://en-word.net/id/oewn-https://en-word.net/id/oewn-10702573-n,"swimmer, bather, natator",a person who travels through the water by swimming; he is not a good swimmer,manual_review_gf.csv,TRUE,FALSE,,
http://www.wikidata.org/entity/Q599151,"official, government official, administrator",17552,https://en-word.net/id/oewn-https://en-word.net/id/oewn-10392072-n,"official, functionary",a worker who holds or is invested with an office,manual_review_babel.csv,TRUE,FALSE,,
http://www.wikidata.org/entity/Q599151,"official, government official, administrator",17552,https://en-word.net/id/oewn-https://en-word.net/id/oewn-10391149-n,"officeholder, officer",someone who is appointed or elected to an office and who holds a position of trust; he is an officer of the court; the club elected its officers for the coming year,manual_review_gf.csv,FALSE,FALSE,,
http://www.wikidata.org/entity/Q13418253,"philologist, language scientist",17492,https://en-word.net/id/oewn-https://en-word.net/id/oewn-10442970-n,"philologist, philologue",a humanist specializing in classical scholarship,manual_review_gf.csv,TRUE,FALSE,,
http://www.wikidata.org/entity/Q131512,"farmer, agriculturist, grower",17327,https://en-word.net/id/oewn-https://en-word.net/id/oewn-10098586-n,"granger, sodbuster, husbandman, farmer",a person who operates a farm,manual_review_multi.csv,TRUE,FALSE,,
http://www.wikidata.org/entity/Q855091,"guitarist, guitar player, guitarists",17327,https://en-word.net/id/oewn-https://en-word.net/id/oewn-10171280-n,"guitar player, guitarist",a musician who plays the guitar,manual_review_multi.csv,TRUE,FALSE,,
http://www.wikidata.org/entity/Q5716684,dancer,16259,https://en-word.net/id/oewn-https://en-word.net/id/oewn-10009953-n,"social dancer, dancer",a person who participates in a social gathering arranged for dancing (as a ball),manual_review_gf.csv,TRUE,FALSE,,
http://www.wikidata.org/entityQ350979,zoologist,15659,https://en-word.net/id/oewn-10825826-n,,,Confirmed,TRUE,FALSE,,
http://www.wikidata.org/entity/Q3387717,"theatrical director, stage director, theatre director",14051,https://en-word.net/id/oewn-https://en-word.net/id/oewn-10664662-n,stage director,someone who supervises the actors and directs the action in the production of a stage show,manual_review_gf.csv,FALSE,FALSE,,
http://www.wikidata.org/entity/Q3387717,"theatrical director, stage director, theatre director",14051,https://en-word.net/id/oewn-https://en-word.net/id/oewn-10034960-n,"director, theater director, theatre director",someone who supervises the actors and directs the action in the production of a show,manual_review_multi.csv,TRUE,FALSE,,
http://www.wikidata.org/entity/Q10833314,tennis player,13695,https://en-word.net/id/oewn-https://en-word.net/id/oewn-10720829-n,tennis player,an athlete who plays tennis,manual_review_gf.csv,TRUE,FALSE,,
http://www.wikidata.org/entity/Q4991371,"soldier, soldiers",13611,https://en-word.net/id/oewn-https://en-word.net/id/oewn-10641415-n,soldier,an enlisted man or woman who serves in an army; the soldiers stood at attention,manual_review_multi.csv,TRUE,FALSE,,
http://www.wikidata.org/entityQ4263842,"literary critic, literary critique, book critic",13417,https://en-word.net/id/oewn-10285713-n,,,Confirmed,TRUE,FALSE,,
http://www.wikidata.org/entity/Q520549,"geologist, geologists",13321,https://en-word.net/id/oewn-https://en-word.net/id/oewn-10147226-n,geologist,a specialist in geology,manual_review_multi.csv,TRUE,FALSE,,
http://www.wikidata.org/entity/Q774306,"surgeon, surgeons, sawbones",13103,https://en-word.net/id/oewn-https://en-word.net/id/oewn-10698621-n,"sawbones, surgeon, operating surgeon",a physician who specializes in surgery,manual_review_multi.csv,TRUE,FALSE,,
http://www.wikidata.org/entity/Q14915627,musicologist,12965,https://en-word.net/id/oewn-https://en-word.net/id/oewn-10360974-n,musicologist,a student of musicology,manual_review_gf.csv,TRUE,FALSE,,
http://www.wikidata.org/entity/Q806798,"banker, private sector banker, Private Banker",12432,https://en-word.net/id/oewn-https://en-word.net/id/oewn-09857108-n,banker,the person in charge of the bank in a gambling game,manual_review_gf.csv,FALSE,FALSE,,
http://www.wikidata.org/entity/Q4773904,anthropologist,11799,https://en-word.net/id/oewn-https://en-word.net/id/oewn-09815764-n,anthropologist,a social scientist who specializes in anthropology,manual_review_multi.csv,TRUE,FALSE,,
http://www.wikidata.org/entity/Q901402,geographer,11145,https://en-word.net/id/oewn-https://en-word.net/id/oewn-10147092-n,geographer,an expert on geography,manual_review_multi.csv,TRUE,FALSE,,
http://www.wikidata.org/entity/Q635734,archivist,10765,https://en-word.net/id/oewn-https://en-word.net/id/oewn-09826367-n,archivist,a person in charge of collecting and cataloguing archives,manual_review_multi.csv,TRUE,FALSE,,
http://www.wikidata.org/entity/Q11063,astronomer,10544,https://en-word.net/id/oewn-https://en-word.net/id/oewn-09837748-n,"stargazer, astronomer, uranologist",a physicist who studies astronomy,manual_review_multi.csv,TRUE,FALSE,,
http://www.wikidata.org/entity/Q822146,"lyricist, song lyricist",10241,https://en-word.net/id/oewn-https://en-word.net/id/oewn-10297609-n,"lyricist, lyrist",a person who writes the words for songs,manual_review_multi.csv,TRUE,FALSE,,
http://www.wikidata.org/entity/Q1402561,military leader,10239,https://en-word.net/id/oewn-https://en-word.net/id/oewn-10336520-n,military leader,a leader of military forces,manual_review_gf.csv,TRUE,FALSE,,
http://www.wikidata.org/entityQ2961975,"business executive, business owner, head of a company",9867,https://en-word.net/id/oewn-09985785-n,,,Confirmed,TRUE,FALSE,,
http://www.wikidata.org/entity/Q219477,"missionary, proselytizer",9529,https://en-word.net/id/oewn-https://en-word.net/id/oewn-10342615-n,missionary,someone who attempts to convert others to a particular doctrine or program,manual_review_gf.csv,FALSE,FALSE,delete sense?,
http://www.wikidata.org/entity/Q219477,"missionary, proselytizer",9529,https://en-word.net/id/oewn-https://en-word.net/id/oewn-10342840-n,"missionary, missioner",someone sent on a mission--especially a religious or charitable mission to a foreign country,manual_review_multi.csv,TRUE,FALSE,,
http://www.wikidata.org/entity/Q41583,"coach, trainer, manager",9466,https://en-word.net/id/oewn-https://en-word.net/id/oewn-09951098-n,"coach, handler, manager",(sports) someone in charge of training an athlete or a team,manual_review_babel.csv,TRUE,FALSE,,
http://www.wikidata.org/entity/Q245068,"comedian, comedienne, comic",9452,https://en-word.net/id/oewn-https://en-word.net/id/oewn-09960183-n,comedian,an actor in a comedy,manual_review_gf.csv,FALSE,FALSE,,
http://www.wikidata.org/entity/Q245068,"comedian, comedienne, comic",9452,https://en-word.net/id/oewn-https://en-word.net/id/oewn-09959604-n,"comedian, comic",a professional performer who tells jokes and performs comical acts,manual_review_multi.csv,TRUE,FALSE,,
http://www.wikidata.org/entity/Q2490358,"choreographer, choreographist",9368,https://en-word.net/id/oewn-https://en-word.net/id/oewn-09939741-n,choreographer,someone who creates new dances,manual_review_gf.csv,TRUE,FALSE,,
http://www.wikidata.org/entity/Q10669499,"naval officer, navy officer",9318,https://en-word.net/id/oewn-https://en-word.net/id/oewn-10367324-n,naval officer,an officer in the navy,manual_review_gf.csv,TRUE,FALSE,,
http://www.wikidata.org/entity/Q2252262,"rapper, rap performer, rap musician",9306,https://en-word.net/id/oewn-https://en-word.net/id/oewn-10527075-n,rapper,someone who performs rap music,manual_review_gf.csv,TRUE,FALSE,,
http://www.wikidata.org/entityQ1423891,"Christian minister, minister of religion, reverend",9249,https://en-word.net/id/oewn-10003102-n,,,Confirmed,TRUE,FALSE,,
http://www.wikidata.org/entity/Q1259917,"violinist, violin player",9213,https://en-word.net/id/oewn-https://en-word.net/id/oewn-10774246-n,"fiddler, violinist",a musician who plays the violin,manual_review_gf.csv,TRUE,FALSE,,
http://www.wikidata.org/entity/Q765778,"organist, organ player",9197,https://en-word.net/id/oewn-https://en-word.net/id/oewn-10402524-n,organist,a person who plays an organ,manual_review_multi.csv,TRUE,FALSE,,
http://www.wikidata.org/entity/Q2095549,"aircraft pilot, pilot, aviatrix",9163,https://en-word.net/id/oewn-https://en-word.net/id/oewn-10452928-n,"pilot, airplane pilot",someone who is licensed to operate an aircraft in flight,manual_review_multi.csv,TRUE,FALSE,,
http://www.wikidata.org/entity/Q674426,"curator, museum curator, museum conservator",9083,https://en-word.net/id/oewn-https://en-word.net/id/oewn-10003419-n,"conservator, curator",the custodian of a collection (as a museum or library),manual_review_gf.csv,TRUE,FALSE,,
http://www.wikidata.org/entity/Q13582652,"civil engineer, civil engineers",9053,https://en-word.net/id/oewn-https://en-word.net/id/oewn-09943998-n,civil engineer,an engineer trained to design and construct and maintain public works (roads or bridges or harbors etc.),manual_review_multi.csv,TRUE,FALSE,,
http://www.wikidata.org/entityQ974144,"educator, teacher",8870,https://en-word.net/id/oewn-10065521-n,,,Confirmed,TRUE,FALSE,,
http://www.wikidata.org/entity/Q5137571,"basketball coach, basketball trainer",8674,https://en-word.net/id/oewn-https://en-word.net/id/oewn-09861343-n,basketball coach,a coach of basketball players,manual_review_multi.csv,TRUE,FALSE,,
http://www.wikidata.org/entity/Q175151,"printer, publisher",8656,https://en-word.net/id/oewn-https://en-word.net/id/oewn-10494882-n,"printer, pressman",someone whose occupation is printing,manual_review_gf.csv,TRUE,FALSE,,
http://www.wikidata.org/entity/Q808967,"barrister, barrister-at-law, Bar-at-law",8239,https://en-word.net/id/oewn-https://en-word.net/id/oewn-09860351-n,barrister,a British or Canadian lawyer who speaks in the higher courts of law on behalf of either the defense or prosecution,manual_review_multi.csv,TRUE,FALSE,,
http://www.wikidata.org/entity/Q205375,inventor,8156,https://en-word.net/id/oewn-https://en-word.net/id/oewn-10234307-n,"inventor, discoverer, artificer",someone who is the first to think of or make something,manual_review_gf.csv,TRUE,FALSE,,
http://www.wikidata.org/entity/Q211346,"psychiatrist, alienist, head-shrinker",8068,https://en-word.net/id/oewn-https://en-word.net/id/oewn-10507601-n,"shrink, head-shrinker, psychiatrist",a physician who specializes in psychiatry,manual_review_babel.csv,TRUE,FALSE,,
http://www.wikidata.org/entity/Q105186,"pharmacist, druggist, chemist",7558,https://en-word.net/id/oewn-https://en-word.net/id/oewn-10441215-n,"druggist, pharmacist, pill pusher, pill roller, apothecary, chemist",a health professional trained in the art of preparing and dispensing drugs,manual_review_multi.csv,TRUE,FALSE,,
http://www.wikidata.org/entity/Q133485,"rabbi, Rav",7312,https://en-word.net/id/oewn-https://en-word.net/id/oewn-10521914-n,rabbi,spiritual leader of a Jewish congregation; qualified to expound and apply Jewish law,manual_review_multi.csv,TRUE,FALSE,,
http://www.wikidata.org/entity/Q2919046,"biochemist, biological chemist",7305,https://en-word.net/id/oewn-https://en-word.net/id/oewn-09874321-n,biochemist,someone with special training in biochemistry,manual_review_multi.csv,TRUE,FALSE,,
http://www.wikidata.org/entityQ2599593,"Germanist, German studies scholar, German scholar",7289,https://en-word.net/id/oewn-10147791-n,,,Confirmed,TRUE,FALSE,,
http://www.wikidata.org/entityQ627325,graphic designer,7272,https://en-word.net/id/oewn-10163575-n,,,Confirmed,TRUE,FALSE,,
http://www.wikidata.org/entity/Q11900058,"explorer, explorer (discoverer), discoverer",7106,https://en-word.net/id/oewn-https://en-word.net/id/oewn-10092496-n,"adventurer, explorer",someone who travels into little known regions (especially for some scientific purpose),manual_review_gf.csv,TRUE,FALSE,,
http://www.wikidata.org/entityQ1662561,"paleontologist, palaeontologist",6914,https://en-word.net/id/oewn-10414485-n,,,Confirmed,TRUE,FALSE,,
http://www.wikidata.org/entity/Q4009406,"sprinter, short distance runner, short-distance runner",6733,https://en-word.net/id/oewn-https://en-word.net/id/oewn-10660811-n,sprinter,someone who runs a short distance at top speed,manual_review_gf.csv,TRUE,FALSE,,
http://www.wikidata.org/entity/Q2732142,"statistician, statisticians",6706,https://en-word.net/id/oewn-https://en-word.net/id/oewn-10672393-n,"statistician, actuary",someone versed in the collection and interpretation of numerical data (especially someone who uses statistics to calculate insurance premiums),manual_review_babel.csv,TRUE,FALSE,,
http://www.wikidata.org/entity/Q329439,engraver,6672,https://en-word.net/id/oewn-https://en-word.net/id/oewn-10077835-n,engraver,a printmaker who prints from an engraved printing plate,manual_review_gf.csv,TRUE,FALSE,,
http://www.wikidata.org/entity/Q384593,"police officer, cop, constable",6561,https://en-word.net/id/oewn-https://en-word.net/id/oewn-10468557-n,"officer, police officer","a member of a police force; it was an accident, officer",manual_review_multi.csv,TRUE,FALSE,,
http://www.wikidata.org/entity/Q130857,"disc jockey, DJ, dee jay",6454,https://en-word.net/id/oewn-https://en-word.net/id/oewn-10036990-n,"DJ, d.j., disc jockey, disk jockey",a person who announces and plays popular recorded music,manual_review_multi.csv,TRUE,FALSE,,
http://www.wikidata.org/entityQ1781198,"agronomist, agronomists",6291,https://en-word.net/id/oewn-09799561-n,,,Confirmed,TRUE,FALSE,,
http://www.wikidata.org/entity/Q372436,"statesperson, stateswoman, statesman",6218,https://en-word.net/id/oewn-https://en-word.net/id/oewn-10671950-n,stateswoman,a woman statesman,manual_review_gf.csv,FALSE,FALSE,,
http://www.wikidata.org/entity/Q3242115,"revolutionary, insurrectionist, revolutionist",6042,https://en-word.net/id/oewn-https://en-word.net/id/oewn-10546909-n,"subversive, subverter, revolutionary, revolutionist",a radical supporter of political or social revolution,manual_review_multi.csv,TRUE,FALSE,,
http://www.wikidata.org/entityQ202883,"veterinarian, veterinary physician, vet",5768,https://en-word.net/id/oewn-10769383-n,,,Confirmed,TRUE,FALSE,,
