SSID 1,Lemmas 1,SSID 2,Lemmas 2,Accept
12989642-n,"Scleroderma, genus Scleroderma",12989891-n,"earthball, false truffle, puffball, hard-skinned puffball",TRUE
12991320-n,"Tulostoma, genus Tulostoma, Tulestoma, genus Tulestoma",12991493-n,stalked puffball,TRUE
12993962-n,genus Mucor,12994203-n,mucor,TRUE
12994301-n,genus Rhizopus,12994551-n,rhizopus,TRUE
12997149-n,genus Dictostylium,12997314-n,dictostylium,TRUE
12999889-n,"Synchytrium, genus Synchytrium",12998836-n,pond-scum parasite,TRUE
13000390-n,"Saprolegnia, genus Saprolegnia",13000840-n,water mold,TRUE
13002551-n,"Albugo, genus Albugo",13002714-n,white rust,TRUE
13003098-n,genus Pythium,13003228-n,pythium,TRUE
13005996-n,"Tuber, genus Tuber",13006180-n,"truffle, earthnut, earth-ball",TRUE
13008753-n,genus Lecanora,13008918-n,lecanora,TRUE
13008753-n,genus Lecanora,13009332-n,"archil, orchil",FALSE
13011167-n,"Alectoria, genus Alectoria",13011357-n,"horsehair lichen, horsetail lichen",TRUE
13012405-n,"Parmelia, genus Parmelia",13012597-n,"crottle, crottal, crotal",TRUE
13023193-n,"Amanita, genus Amanita",13018679-n,mushroom,TRUE
13033947-n,genus Lepiota,13034294-n,lepiota,TRUE
13052716-n,"Morchella, genus Morchella",13052875-n,morel,TRUE
13056281-n,genus Helvella,13056467-n,helvella,TRUE
13060313-n,"Phallales, order Phallales",13061063-n,"stinkhorn, carrion fungus",TRUE
13087563-n,"Ustilago, genus Ustilago",13087739-n,loose smut,TRUE
13089325-n,"Urocystis, genus Urocystis",13089677-n,flag smut fungus,TRUE
13098571-n,genus Verticillium,13098781-n,verticillium,TRUE
13099569-n,genus Monilia,13099833-n,monilia,TRUE
13099963-n,genus Candida,13100179-n,candida,TRUE
13103053-n,"genus Rhizoctinia, form genus Rhizoctinia",13103328-n,rhizoctinia,TRUE
13247596-n,"Geoglossum, genus Geoglossum",13247769-n,"earthtongue, earth-tongue",TRUE
13252334-n,"Armillaria, genus Armillaria",13252576-n,shoestring fungus,TRUE
13019109-n,"Agaricales, order Agaricales",13019575-n,agaric,TRUE
13045727-n,"Endomycetales, order Endomycetales",13046407-n,yeast,TRUE
13083806-n,"Uredinales, order Uredinales",13084029-n,"rust, rust fungus",TRUE
13086662-n,"Ustilaginales, order Ustilaginales",13086889-n,"smut, smut fungus",TRUE
11615763-n,"Gymnospermae, class Gymnospermae, Gymnospermophyta, division Gymnospermophyta",11574214-n,gymnosperm family,FALSE
11615763-n,"Gymnospermae, class Gymnospermae, Gymnospermophyta, division Gymnospermophyta",11574626-n,gymnosperm genus,FALSE
11615763-n,"Gymnospermae, class Gymnospermae, Gymnospermophyta, division Gymnospermophyta",11616559-n,gymnosperm,TRUE
11615763-n,"Gymnospermae, class Gymnospermae, Gymnospermophyta, division Gymnospermophyta",13129421-n,gymnospermous tree,FALSE
11685380-n,"Angiospermae, class Angiospermae, Magnoliophyta, division Magnoliophyta, Anthophyta, division Anthophyta",11685823-n,"angiosperm, flowering plant",TRUE
11685380-n,"Angiospermae, class Angiospermae, Magnoliophyta, division Magnoliophyta, Anthophyta, division Anthophyta",13130492-n,"angiospermous tree, flowering tree",FALSE
11685380-n,"Angiospermae, class Angiospermae, Magnoliophyta, division Magnoliophyta, Anthophyta, division Anthophyta",13140762-n,flowering shrub,FALSE
11686232-n,"Dicotyledones, class Dicotyledones, Dicotyledonae, class Dicotyledonae, Magnoliopsida, class Magnoliopsida",11575864-n,"monocot family, liliopsid family",FALSE
11686232-n,"Dicotyledones, class Dicotyledones, Dicotyledonae, class Dicotyledonae, Magnoliopsida, class Magnoliopsida",11583198-n,"dicot family, magnoliopsid family",FALSE
11686232-n,"Dicotyledones, class Dicotyledones, Dicotyledonae, class Dicotyledonae, Magnoliopsida, class Magnoliopsida",11587862-n,"dicot genus, magnoliopsid genus",FALSE
11686232-n,"Dicotyledones, class Dicotyledones, Dicotyledonae, class Dicotyledonae, Magnoliopsida, class Magnoliopsida",11687305-n,"dicot, dicotyledon, magnoliopsid, exogen",TRUE
11687563-n,"Magnoliidae, subclass Magnoliidae, ranalian complex",11584709-n,magnoliid dicot family,FALSE
11687563-n,"Magnoliidae, subclass Magnoliidae, ranalian complex",11592358-n,magnoliid dicot genus,FALSE
11688013-n,"Monocotyledones, class Monocotyledones, Monocotyledonae, class Monocotyledonae, Liliopsida, class Liliopsida",11577308-n,"monocot genus, liliopsid genus",FALSE
11688013-n,"Monocotyledones, class Monocotyledones, Monocotyledonae, class Monocotyledonae, Liliopsida, class Liliopsida",11688568-n,"monocot, monocotyledon, liliopsid, endogen",TRUE
12057250-n,genus Campanula,12057408-n,"campanula, bellflower",TRUE
12108324-n,"Dioscorea, genus Dioscorea",12108478-n,"yam, yam plant",TRUE
12127057-n,"Agrostis, genus Agrostis",12127303-n,"bent, bent grass, bent-grass",TRUE
12130236-n,"Avena, genus Avena",12130344-n,oat,TRUE
12335169-n,"Hamamelis, genus Hamamelis",12335325-n,"witch hazel, witch hazel plant, wych hazel, wych hazel plant",TRUE
12335941-n,"Corylopsis, genus Corylopsis",12336115-n,"winter hazel, flowering hazel",TRUE
12336335-n,"genus Fothergilla, Fothergilla",12336516-n,"fothergilla, witch alder",TRUE
12336817-n,"genus Liquidambar, Liquidambar",12336961-n,liquidambar,TRUE
12337681-n,"Parrotia, genus Parrotia",12337813-n,"iron tree, iron-tree, ironwood, ironwood tree",TRUE
12506902-n,"Linum, genus Linum",12507079-n,flax,TRUE
12706440-n,genus Geranium,12706592-n,"cranesbill, crane's bill",TRUE
12806259-n,genus Sedum,12806484-n,sedum,TRUE
12806259-n,genus Sedum,12806649-n,stonecrop,TRUE
12825626-n,"Ribes, genus Ribes",12825906-n,"currant, currant bush",TRUE
12831078-n,genus Phlox,12831355-n,phlox,TRUE
12838095-n,genus Anchusa,12838224-n,anchusa,TRUE
12840713-n,"Hackelia, genus Hackelia, Lappula, genus Lappula",12840873-n,"beggar's lice, beggar lice",TRUE
12843044-n,"Onosmodium, genus Onosmodium",12843226-n,false gromwell,TRUE
12843410-n,"Symphytum, genus Symphytum",12843529-n,"comfrey, cumfrey",TRUE
12893017-n,"Utricularia, genus Utricularia",12893218-n,bladderwort,TRUE
12893458-n,"Pinguicula, genus Pinguicula",12893674-n,butterwort,TRUE
12893942-n,genus Genlisea,12894101-n,genlisea,TRUE
11823944-n,"Caryophyllidae, subclass Caryophyllidae",11585491-n,caryophylloid dicot family,FALSE
11823944-n,"Caryophyllidae, subclass Caryophyllidae",11594111-n,caryophylloid dicot genus,FALSE
11931304-n,"Asteridae, subclass Asteridae",11586681-n,asterid dicot family,FALSE
11931304-n,"Asteridae, subclass Asteridae",11599869-n,asterid dicot genus,FALSE
12167548-n,"Bambuseae, tribe Bambuseae",12167743-n,bamboo,TRUE
12233327-n,"Rosidae, subclass Rosidae",11587133-n,rosid dicot family,FALSE
12233327-n,"Rosidae, subclass Rosidae",11605791-n,rosid dicot genus,FALSE
12333522-n,"Hamamelidae, subclass Hamamelidae",11585185-n,hamamelid dicot family,FALSE
12333522-n,"Hamamelidae, subclass Hamamelidae",11593624-n,hamamelid dicot genus,FALSE
12379002-n,"Dilleniidae, subclass Dilleniidae",11585836-n,dilleniid dicot family,FALSE
12379002-n,"Dilleniidae, subclass Dilleniidae",11595876-n,dilleniid dicot genus,FALSE
12430886-n,"Liliidae, subclass Liliidae",11576638-n,liliid monocot family,FALSE
12430886-n,"Liliidae, subclass Liliidae",11581679-n,liliid monocot genus,FALSE
12972428-n,"Hymenophyllum, genus Hymenophyllum",12972595-n,"filmy fern, film fern",TRUE
12972782-n,"Trichomanes, genus Trichomanes",12972925-n,"bristle fern, filmy fern",TRUE
12973839-n,genus Osmunda,12973966-n,"flowering fern, osmund",TRUE
12976789-n,"Lygodium, genus Lygodium",12976930-n,climbing fern,TRUE
12978227-n,"Marsilea, genus Marsilea",12978368-n,"clover fern, pepperwort",TRUE
12980971-n,"Ophioglossum, genus Ophioglossum",12981138-n,"adder's tongue, adder's tongue fern",TRUE
12981489-n,"Botrychium, genus Botrychium",12981623-n,grape fern,TRUE
12996368-n,"Myxomycetes, class Myxomycetes",12996564-n,"true slime mold, acellular slime mold, plasmodial slime mold, myxomycete",TRUE
12996742-n,"Acrasiomycetes, class Acrasiomycetes",12996958-n,cellular slime mold,TRUE
13007207-n,"Lichenes, division Lichenes",13007816-n,lichen,TRUE
13013224-n,"Fungi, kingdom Fungi, fungus kingdom",11611234-n,fungus family,FALSE
13013224-n,"Fungi, kingdom Fungi, fungus kingdom",11612597-n,fungus genus,FALSE
13013224-n,"Fungi, kingdom Fungi, fungus kingdom",11615127-n,fungus order,FALSE
13013224-n,"Fungi, kingdom Fungi, fungus kingdom",13013628-n,fungus,TRUE
13015739-n,"Eumycota, division Eumycota",13016361-n,true fungus,TRUE
13017601-n,"Basidiomycetes, class Basidiomycetes",13018414-n,"basidiomycete, basidiomycetous fungi",TRUE
13044052-n,"Ascomycota, subdivision Ascomycota, Ascomycotina, subdivision Ascomycotina",13043894-n,sac fungus,FALSE
13044052-n,"Ascomycota, subdivision Ascomycota, Ascomycotina, subdivision Ascomycotina",13044772-n,"ascomycete, ascomycetous fungus",TRUE
13049097-n,"Discomycetes, subclass Discomycetes",13049371-n,"discomycete, cup fungus",TRUE
13059704-n,"Gasteromycetes, class Gasteromycetes, Gastromycetes, class Gastromycetes",13060109-n,"gasteromycete, gastromycete",TRUE
13212923-n,"Dryopteridaceae, family Dryopteridaceae, Athyriaceae, family Athyriaceae",13213523-n,"shield fern, buckler fern",TRUE
13193623-n,"Polypodium, genus Polypodium",13193821-n,polypody,TRUE
13195413-n,"Campyloneurum, genus Campyloneurum",13195568-n,strap fern,TRUE
13196745-n,genus Lecanopteris,13196898-n,lecanopteris,TRUE
13198252-n,"Platycerium, genus Platycerium",13198427-n,staghorn fern,TRUE
13201202-n,"Asplenium, genus Asplenium",13201432-n,spleenwort,TRUE
13205771-n,"Blechnum, genus Blechnum",13206032-n,hard fern,TRUE
13206334-n,"genus Doodia, Doodia",13206556-n,"doodia, rasp fern",TRUE
13207098-n,"Woodwardia, genus Woodwardia",13207286-n,chain fern,TRUE
13208724-n,genus Davallia,13208994-n,davallia,TRUE
13208724-n,genus Davallia,13209166-n,hare's-foot fern,FALSE
13213796-n,"Dryopteris, genus Dryopteris",13214540-n,"wood fern, wood-fern, woodfern",TRUE
13216445-n,"Cystopteris, genus Cystopteris",13216659-n,bladder fern,TRUE
13220343-n,"Polystichum, genus Polystichum",13220868-n,holly fern,TRUE
13222623-n,genus Woodsia,13222867-n,woodsia,TRUE
13225544-n,"Nephrolepis, genus Nephrolepis",13225724-n,sword fern,TRUE
13227482-n,"Adiantum, genus Adiantum",13227715-n,"maidenhair, maidenhair fern",TRUE
13229366-n,"Cheilanthes, genus Cheilanthes",13229603-n,"lip fern, lipfern",TRUE
13230904-n,"Cryptogramma, genus Cryptogramma",13231103-n,rock brake,TRUE
13232414-n,"Pellaea, genus Pellaea",13232688-n,"cliff brake, cliff-brake, rock brake",TRUE
13233649-n,"Pityrogramma, genus Pityrogramma",13234295-n,"golden fern, Pityrogramma calomelanos aureoflava",TRUE
13234666-n,"Pteris, genus Pteris",13234929-n,brake,TRUE
13237571-n,"Psilotum, genus Psilotum",13237710-n,whisk fern,TRUE
13238661-n,genus Psilophyton,13238891-n,psilophyton,TRUE
13240156-n,"Equisetum, genus Equisetum",13240320-n,horsetail,TRUE
13245352-n,"Selaginella, genus Selaginella",13245571-n,"spikemoss, spike moss, little club moss",TRUE
13247033-n,"Isoetes, genus Isoetes",13247218-n,quillwort,TRUE
13249255-n,genus Christella,13249434-n,christella,TRUE
13251319-n,"Phegopteris, genus Phegopteris",13251560-n,beech fern,TRUE
13190117-n,"Filicopsida, class Filicopsida, Filicinae, class Filicinae",11566165-n,fern,TRUE
13241740-n,"Lycopsida, class Lycopsida, Lycopodiate, class Lycopodiate",13242427-n,"club moss, club-moss, lycopod",TRUE
01315584-n,"Animalia, kingdom Animalia, animal kingdom",00015568-n,"animal, animate being, beast, brute, creature, fauna",TRUE
01315584-n,"Animalia, kingdom Animalia, animal kingdom",01345170-n,animal order,FALSE
01315584-n,"Animalia, kingdom Animalia, animal kingdom",01761823-n,arthropod family,FALSE
01315584-n,"Animalia, kingdom Animalia, animal kingdom",01765166-n,arthropod genus,FALSE
01315584-n,"Animalia, kingdom Animalia, animal kingdom",01910928-n,coelenterate family,FALSE
01315584-n,"Animalia, kingdom Animalia, animal kingdom",01911056-n,coelenterate genus,FALSE
01315584-n,"Animalia, kingdom Animalia, animal kingdom",01920651-n,ctenophore family,FALSE
01315584-n,"Animalia, kingdom Animalia, animal kingdom",01920793-n,ctenophore genus,FALSE
01315584-n,"Animalia, kingdom Animalia, animal kingdom",01924200-n,worm family,FALSE
01315584-n,"Animalia, kingdom Animalia, animal kingdom",01924528-n,worm genus,FALSE
01315584-n,"Animalia, kingdom Animalia, animal kingdom",01941491-n,mollusk family,FALSE
01315584-n,"Animalia, kingdom Animalia, animal kingdom",01942239-n,mollusk genus,FALSE
01315584-n,"Animalia, kingdom Animalia, animal kingdom",02318690-n,echinoderm family,FALSE
01315584-n,"Animalia, kingdom Animalia, animal kingdom",02318832-n,echinoderm genus,FALSE
01344517-n,"Monera, kingdom Monera, Prokayotae, kingdom Prokaryotae",01344910-n,"moneran, moneron",TRUE
01389135-n,"Protoctista, kingdom Protoctista",01349840-n,protoctist order,FALSE
01389135-n,"Protoctista, kingdom Protoctista",01389706-n,protoctist,TRUE
01389135-n,"Protoctista, kingdom Protoctista",01390258-n,protoctist family,FALSE
01389135-n,"Protoctista, kingdom Protoctista",01390771-n,protoctist genus,FALSE
01911344-n,"Metazoa, subkingdom Metazoa",01911599-n,metazoan,TRUE
01389849-n,"Protista, division Protista",01390092-n,"protist, protistan",TRUE
01391829-n,"Protozoa, phylum Protozoa",01392148-n,"protozoan, protozoon",TRUE
01468635-n,"Chordata, phylum Chordata",01468898-n,chordate,TRUE
01468635-n,"Chordata, phylum Chordata",01469469-n,chordate family,FALSE
01468635-n,"Chordata, phylum Chordata",01469637-n,chordate genus,FALSE
01469821-n,"Cephalochordata, subphylum Cephalochordata",01469977-n,cephalochordate,TRUE
01470627-n,"Urochordata, subphylum Urochordata, Urochorda, subphylum Urochorda, Tunicata, subphylum Tunicata",01470879-n,"tunicate, urochordate, urochord",TRUE
01473711-n,"Vertebrata, subphylum Vertebrata, Craniata, subphylum Craniata",01431990-n,fish family,FALSE
01473711-n,"Vertebrata, subphylum Vertebrata, Craniata, subphylum Craniata",01435158-n,fish genus,FALSE
01473711-n,"Vertebrata, subphylum Vertebrata, Craniata, subphylum Craniata",01474323-n,"vertebrate, craniate",TRUE
01473711-n,"Vertebrata, subphylum Vertebrata, Craniata, subphylum Craniata",01507078-n,bird family,FALSE
01473711-n,"Vertebrata, subphylum Vertebrata, Craniata, subphylum Craniata",01509816-n,bird genus,FALSE
01473711-n,"Vertebrata, subphylum Vertebrata, Craniata, subphylum Craniata",01628775-n,amphibian family,FALSE
01473711-n,"Vertebrata, subphylum Vertebrata, Craniata, subphylum Craniata",01629241-n,amphibian genus,FALSE
01473711-n,"Vertebrata, subphylum Vertebrata, Craniata, subphylum Craniata",01659454-n,reptile family,FALSE
01473711-n,"Vertebrata, subphylum Vertebrata, Craniata, subphylum Craniata",01660364-n,reptile genus,FALSE
01473711-n,"Vertebrata, subphylum Vertebrata, Craniata, subphylum Craniata",01865198-n,mammal family,FALSE
01473711-n,"Vertebrata, subphylum Vertebrata, Craniata, subphylum Craniata",01867348-n,mammal genus,FALSE
01769840-n,"Arthropoda, phylum Arthropoda",01770302-n,arthropod,TRUE
01769840-n,"Arthropoda, phylum Arthropoda",02162607-n,insect,FALSE
01791371-n,"Pentastomida, subphylum Pentastomida",01791505-n,"tongue worm, pentastomid",TRUE
01909193-n,"Porifera, phylum Porifera",01909390-n,"sponge, poriferan, parazoan",TRUE
01909193-n,"Porifera, phylum Porifera",01909675-n,sponge genus,FALSE
