SSID 1,Lemmas 1,SSID 2,Lemmas 2,Accept
11550054-n,"Plantae, kingdom Plantae, plant kingdom",00017402-n,"plant, flora, plant life",TRUE
11550054-n,"Plantae, kingdom Plantae, plant kingdom",11555128-n,plant order,FALSE
11550054-n,"Plantae, kingdom Plantae, plant kingdom",11765052-n,plant family,FALSE
11550054-n,"Plantae, kingdom Plantae, plant kingdom",11765328-n,plant genus,FALSE
11558792-n,"Anthocerotales, order Anthocerotales",11559271-n,hornwort,TRUE
11563371-n,"Jungermanniales, order Jungermanniales",11563556-n,"leafy liverwort, scale moss",TRUE
12246839-n,"Ericaceae, family Ericaceae, heath family",12247449-n,heath,TRUE
12799686-n,"Sarraceniales, order Sarraceniales",12800363-n,pitcher plant,TRUE
13238111-n,"Psilophytales, order Psilophytales",13238392-n,psilophyte,TRUE
11557229-n,"Bryophyta, division Bryophyta",11557778-n,"bryophyte, nonvascular plant",TRUE
11557229-n,"Bryophyta, division Bryophyta",11558116-n,moss family,FALSE
11557229-n,"Bryophyta, division Bryophyta",11558337-n,moss genus,FALSE
11562370-n,genus Sphagnum,11562588-n,"sphagnum, sphagnum moss, peat moss, bog moss",TRUE
11562792-n,"Hepaticopsida, class Hepaticopsida, Hepaticae, class Hepaticae",11563091-n,"liverwort, hepatic",TRUE
11565220-n,"Pteridophyta, division Pteridophyta",11565975-n,"pteridophyte, nonflowering plant",TRUE
11565220-n,"Pteridophyta, division Pteridophyta",13187236-n,fern family,FALSE
11565220-n,"Pteridophyta, division Pteridophyta",13187976-n,fern genus,FALSE
11565665-n,genus Pecopteris,11565801-n,pecopteris,TRUE
11649952-n,"Cupressaceae, family Cupressaceae, cypress family",11650468-n,"cedar, cedar tree",FALSE
11649952-n,"Cupressaceae, family Cupressaceae, cypress family",84481488-n,"sequoia, redwood",FALSE
11681430-n,"Taxaceae, family Taxaceae, yew family",11681823-n,yew,TRUE
11618903-n,genus Ephedra,11619137-n,"ephedra, joint fir",TRUE
11622208-n,genus Zamia,11622369-n,zamia,TRUE
11622755-n,genus Ceratozamia,11622929-n,ceratozamia,TRUE
11623122-n,genus Dioon,11623324-n,dioon,TRUE
11623496-n,genus Encephalartos,11623697-n,encephalartos,TRUE
11624081-n,genus Macrozamia,11624286-n,macrozamia,TRUE
11628506-n,"Pinus, genus Pinus",11628701-n,"pine, pine tree, true pine",TRUE
11628506-n,"Pinus, genus Pinus",11629926-n,"pinon, pinyon",FALSE
11639201-n,"Larix, genus Larix",11639312-n,"larch, larch tree",TRUE
11641011-n,"Abies, genus Abies",11641124-n,"fir, fir tree, true fir",TRUE
11643439-n,"Cedrus, genus Cedrus",11643556-n,"cedar, cedar tree, true cedar",TRUE
11644818-n,"Picea, genus Picea",11644982-n,spruce,TRUE
11647479-n,"Tsuga, genus Tsuga",11647619-n,"hemlock, hemlock tree",TRUE
11648735-n,"Pseudotsuga, genus Pseudotsuga",11648907-n,douglas fir,TRUE
11650802-n,"Cupressus, genus Cupressus",11650940-n,"cypress, cypress tree",TRUE
11653910-n,"Callitris, genus Callitris",86491841-n,cypress pine,TRUE
11656840-n,"Juniperus, genus Juniperus",80945361-n,juniper,TRUE
11656840-n,"Juniperus, genus Juniperus",11657466-n,"pencil cedar, pencil cedar tree",FALSE
11659353-n,"Libocedrus, genus Libocedrus",11659535-n,incense cedar,TRUE
11662239-n,"Taxodium, genus Taxodium",83153902-n,"bald cypress, swamp cypress, pond bald cypress, southern cypress",FALSE
11662239-n,"Taxodium, genus Taxodium",80820791-n,"pond cypress, bald cypress",FALSE
11665492-n,genus Keteleeria,11665614-n,keteleeria,TRUE
11666234-n,genus Araucaria,11666365-n,araucaria,TRUE
11667582-n,"Agathis, genus Agathis",11667757-n,"kauri pine, dammar pine",TRUE
11669068-n,"Cephalotaxus, genus Cephalotaxus",11669227-n,plum-yew,TRUE
11670200-n,"Phyllocladus, genus Phyllocladus",11670329-n,celery pine,TRUE
11672182-n,"Podocarpus, genus Podocarpus",11672490-n,podocarp,TRUE
12431589-n,"Iridaceae, family Iridaceae, iris family",12431966-n,iridaceous plant,TRUE
12432215-n,genus Iris,12432427-n,"iris, flag, fleur-de-lis, sword lily",TRUE
12432215-n,genus Iris,12432860-n,bearded iris,FALSE
12432215-n,genus Iris,12433111-n,beardless iris,FALSE
12432215-n,genus Iris,12433355-n,bulbous iris,FALSE
12439185-n,"Amaryllidaceae, family Amaryllidaceae, amaryllis family",12439542-n,amaryllis,TRUE
12444070-n,"Liliaceae, family Liliaceae, lily family",12445786-n,liliaceous plant,TRUE
12444070-n,"Liliaceae, family Liliaceae, lily family",12462463-n,asphodel,FALSE
11763578-n,"Juncaceae, family Juncaceae, rush family",11763763-n,rush,TRUE
11799003-n,"Araceae, family Araceae, arum family",11799769-n,"arum, aroid",TRUE
11814736-n,"Lemnaceae, family Lemnaceae, duckweed family",11814988-n,duckweed,TRUE
12060212-n,"Orchidaceae, family Orchidaceae, orchid family",12061915-n,"orchid, orchidaceous plant",TRUE
12121055-n,"Gramineae, family Gramineae, Graminaceae, family Graminaceae, Poaceae, family Poaceae, grass family",12122387-n,"gramineous plant, graminaceous plant",TRUE
12121055-n,"Gramineae, family Gramineae, Graminaceae, family Graminaceae, Poaceae, family Poaceae, grass family",12152067-n,"meadowgrass, meadow grass",FALSE
12121055-n,"Gramineae, family Gramineae, Graminaceae, family Graminaceae, Poaceae, family Poaceae, grass family",12156415-n,millet,FALSE
12133306-n,"Calamagrostis, genus Calamagrostis",12133435-n,reed grass,FALSE
12170268-n,"Cyperaceae, family Cyperaceae, sedge family",12170545-n,sedge,TRUE
12332411-n,"Haemodoraceae, family Haemodoraceae, bloodwort family",12332627-n,bloodwort,TRUE
12602129-n,"Palmae, family Palmae, Palmaceae, family Palmaceae, Arecaceae, family Arecaceae, palm family",12602979-n,"palm, palm tree",TRUE
12626726-n,"Commelinaceae, family Commelinaceae, spiderwort family",12627306-n,"spiderwort, dayflower",TRUE
12636188-n,"Potamogetonaceae, family Potamogetonaceae, pondweed family",12636471-n,pondweed,TRUE
12436783-n,genus Crocus,12436928-n,crocus,TRUE
12437422-n,genus Freesia,12437567-n,freesia,TRUE
12437778-n,genus Gladiolus,12437887-n,"gladiolus, gladiola, glad, sword lily",TRUE
12438191-n,"Ixia, genus Ixia",12438341-n,corn lily,TRUE
12438570-n,"Sisyrinchium, genus Sisyrinchium",12438726-n,blue-eyed grass,TRUE
12440840-n,"Haemanthus, genus Haemanthus",12441040-n,blood lily,TRUE
12441839-n,genus Narcissus,12441972-n,narcissus,TRUE
12443436-n,"Hypoxis, genus Hypoxis",12443716-n,star grass,TRUE
12446605-n,"Lilium, genus Lilium",12446753-n,lily,TRUE
12449420-n,genus Agapanthus,12449653-n,"agapanthus, lily of the Nile",TRUE
12450094-n,genus Albuca,12450275-n,albuca,TRUE
12450447-n,"Aletris, genus Aletris",12450703-n,"colicroot, colic root, crow corn, star grass, unicorn root",TRUE
12451633-n,"Allium, genus Allium",12451939-n,alliaceous plant,TRUE
12451633-n,"Allium, genus Allium",12452366-n,wild onion,FALSE
12456995-n,genus Aloe,12457182-n,aloe,TRUE
12457816-n,genus Kniphofia,12458018-n,"kniphofia, tritoma, flame flower, flame-flower, flameflower",TRUE
12458829-n,genus Alstroemeria,12459076-n,alstroemeria,TRUE
12465643-n,genus Brodiaea,12465892-n,brodiaea,TRUE
12466353-n,"Calochortus, genus Calochortus",12466705-n,"mariposa, mariposa tulip, mariposa lily",FALSE
12466353-n,"Calochortus, genus Calochortus",12467024-n,"globe lily, fairy lantern",FALSE
12466353-n,"Calochortus, genus Calochortus",12467242-n,cat's-ear,FALSE
12469529-n,"Camassia, genus Camassia, Quamassia, genus Quamassia",12469801-n,"camas, camass, quamash, camosh, camash",TRUE
12470604-n,"Erythronium, genus Erythronium",12470849-n,"dogtooth violet, dogtooth, dog's-tooth violet",TRUE
12472294-n,"Fritillaria, genus Fritillaria",12472420-n,"fritillary, checkered lily",TRUE
12474526-n,"Tulipa, genus Tulipa",12474664-n,tulip,TRUE
12477032-n,"Hemerocallis, genus Hemerocallis",12477350-n,"day lily, daylily",TRUE
12478024-n,"Hosta, genus Hosta, Funka, genus Funka",12478276-n,"plantain lily, day lily",TRUE
12478729-n,genus Hyacinthus,12478888-n,hyacinth,TRUE
12479976-n,"Ornithogalum, genus Ornithogalum",12480134-n,star-of-Bethlehem,TRUE
12481054-n,"Muscari, genus Muscari",12481202-n,grape hyacinth,TRUE
12481831-n,genus Scilla,12481971-n,"scilla, squill",TRUE
12482314-n,"Tofieldia, genus Tofieldia",12482537-n,false asphodel,TRUE
12484079-n,"Narthecium, genus Narthecium",12484248-n,bog asphodel,TRUE
12484783-n,"Veratrum, genus Veratrum",12484981-n,"hellebore, false hellebore",TRUE
12486539-n,"Xanthorroea, genus Xanthorroea",12486711-n,"grass tree, Australian grass tree",TRUE
12486955-n,"Zigadenus, genus Zigadenus",12487232-n,"death camas, zigadene",TRUE
12488586-n,genus Trillium,12488748-n,"trillium, wood lily, wake-robin",TRUE
12490441-n,"Smilax, genus Smilax",12490597-n,sarsaparilla,TRUE
12495333-n,"Uvularia, genus Uvularia",12495540-n,"bellwort, merry bells, wild oats",TRUE
12499808-n,genus Dracaena,12500042-n,dracaena,TRUE
12501182-n,genus Sansevieria,12501400-n,"sansevieria, bowstring hemp",TRUE
12502311-n,genus Yucca,12502536-n,yucca,TRUE
11802319-n,genus Alocasia,11802505-n,"alocasia, elephant's ear, elephant ear",TRUE
11802991-n,genus Amorphophallus,11803230-n,amorphophallus,TRUE
11804192-n,genus Anthurium,11804389-n,"anthurium, tailflower, tail-flower",TRUE
11805944-n,genus Caladium,11806137-n,caladium,TRUE
11807452-n,genus Cryptocoryne,11807659-n,"cryptocoryne, water trumpet",TRUE
11808361-n,genus Dracontium,11808508-n,dracontium,TRUE
11809749-n,genus Monstera,11809907-n,monstera,TRUE
11810265-n,genus Nephthytis,11810431-n,nephthytis,TRUE
11811093-n,"Peltandra, genus Peltandra",11811257-n,arrow arum,TRUE
11811624-n,genus Philodendron,11811810-n,philodendron,TRUE
11812288-n,"Scindapsus, genus Scindapsus, genus Pothos",11812498-n,pothos,TRUE
11812624-n,genus Spathiphyllum,11812810-n,"spathiphyllum, peace lily, spathe flower",TRUE
11816243-n,"Wolffia, genus Wolffia",11816474-n,watermeal,TRUE
12063717-n,genus Orchis,12063913-n,orchis,TRUE
12064738-n,genus Aerides,12064936-n,aerides,TRUE
12065040-n,"genus Angrecum, Angraecum, genus Angraecum",12065253-n,angrecum,TRUE
12065473-n,"Anoectochilus, genus Anoectochilus",12065626-n,jewel orchid,TRUE
12066164-n,genus Arethusa,12066329-n,arethusa,TRUE
12066720-n,genus Bletia,12066897-n,bletia,TRUE
12067642-n,genus Brassavola,12067814-n,brassavola,TRUE
12068700-n,genus Caladenia,12068868-n,caladenia,TRUE
12069241-n,genus Calanthe,12069397-n,calanthe,TRUE
12070764-n,genus Cattleya,12071002-n,cattleya,TRUE
12071235-n,"Cephalanthera, genus Cephalanthera",12071428-n,helleborine,TRUE
12073099-n,genus Coelogyne,12073256-n,coelogyne,TRUE
12073607-n,"Corallorhiza, genus Corallorhiza",12073874-n,coral root,TRUE
12074968-n,"Coryanthes, genus Coryanthes",12075147-n,"helmetflower, helmet orchid",TRUE
12075371-n,"Cycnoches, genus Cycnoches",12075542-n,"swan orchid, swanflower, swan-flower, swanneck, swan-neck",TRUE
12075786-n,genus Cymbidium,12075985-n,"cymbid, cymbidium",TRUE
12076308-n,"Cypripedium, genus Cypripedium",12076568-n,cypripedia,TRUE
12076308-n,"Cypripedium, genus Cypripedium",12076686-n,"lady's slipper, lady's-slipper, lady-slipper, lady slipper, ladies' slipper, slipper orchid",FALSE
12078930-n,"Dactylorhiza, genus Dactylorhiza",12079131-n,marsh orchid,TRUE
12079591-n,genus Dendrobium,12079815-n,dendrobium,TRUE
12079980-n,genus Disa,12080126-n,disa,TRUE
12082350-n,"Epidendrum, genus Epidendrum",12082606-n,epidendron,TRUE
12082728-n,"Epipactis, genus Epipactis",12082969-n,helleborine,TRUE
12083567-n,"Glossodia, genus Glossodia",12083712-n,"tongueflower, tongue-flower",TRUE
12083915-n,"Goodyera, genus Goodyera",12084140-n,"rattlesnake plantain, helleborine",TRUE
12085497-n,"Habenaria, genus Habenaria",12085817-n,"fringed orchis, fringed orchid",FALSE
12085497-n,"Habenaria, genus Habenaria",12086150-n,frog orchid,FALSE
12085497-n,"Habenaria, genus Habenaria",12086278-n,"rein orchid, rein orchis",FALSE
12090322-n,genus Laelia,12090517-n,laelia,TRUE
12090678-n,genus Liparis,12090882-n,liparis,TRUE
12090678-n,genus Liparis,12091084-n,twayblade,TRUE
12092920-n,genus Masdevallia,12093223-n,masdevallia,TRUE
12093508-n,genus Maxillaria,12093718-n,maxillaria,TRUE
12093911-n,"Miltonia, genus Miltonia",12094055-n,pansy orchid,TRUE
12094245-n,genus Odontoglossum,12094492-n,odontoglossum,TRUE
12094706-n,genus Oncidium,12094909-n,"oncidium, dancing lady orchid, butterfly plant, butterfly orchid",TRUE
12095179-n,"Ophrys, genus Ophrys",12095652-n,spider orchid,TRUE
12096576-n,genus Phaius,12096724-n,phaius,TRUE
12096882-n,"Phalaenopsis, genus Phalaenopsis",12097078-n,"moth orchid, moth plant",TRUE
12097563-n,"Pholidota, genus Pholidota",12097745-n,rattlesnake orchid,TRUE
12099097-n,"Plectorrhiza, genus Plectorrhiza",12099248-n,tangle orchid,TRUE
12099853-n,genus Pleurothallis,12100024-n,pleurothallis,TRUE
12100238-n,genus Pogonia,12100464-n,pogonia,TRUE
12100700-n,"Psychopsis, genus Psychopsis",12100896-n,butterfly orchid,TRUE
12101523-n,"Pterostylis, genus Pterostylis",12101716-n,"helmet orchid, greenhood",TRUE
12101989-n,"Rhyncostylis, genus Rhyncostylis",12102150-n,foxtail orchid,TRUE
12103481-n,genus Sobralia,12103614-n,sobralia,TRUE
12103840-n,"Spiranthes, genus Spiranthes",12104092-n,"ladies' tresses, lady's tresses",TRUE
12105263-n,genus Stanhopea,12105407-n,stanhopea,TRUE
12105634-n,genus Stelis,12105784-n,stelis,TRUE
12105986-n,"Trichoceros, genus Trichoceros",12106181-n,fly orchid,TRUE
12106357-n,genus Vanda,12106529-n,vanda,TRUE
12106879-n,genus Vanilla,12107056-n,vanilla,TRUE
12125460-n,"Agropyron, genus Agropyron",12125642-n,"wheatgrass, wheat-grass",TRUE
12128766-n,"Andropogon, genus Andropogon",12128949-n,broom grass,TRUE
12131147-n,"Bromus, genus Bromus",12131295-n,"brome, bromegrass",TRUE
12132399-n,"Bouteloua, genus Bouteloua",12132525-n,"grama, grama grass, gramma, gramma grass",TRUE
12133988-n,"Cenchrus, genus Cenchrus",12134174-n,"burgrass, bur grass",TRUE
12137398-n,"Digitaria, genus Digitaria",12137534-n,"crabgrass, crab grass, finger grass",TRUE
12139429-n,"Elymus, genus Elymus",12139616-n,lyme grass,TRUE
12139429-n,"Elymus, genus Elymus",12139755-n,wild rye,TRUE
12140464-n,"Eragrostis, genus Eragrostis",12140631-n,"love grass, bay grass",TRUE
12141329-n,"Erianthus, genus Erianthus",12141550-n,plume grass,TRUE
12141922-n,"Festuca, genus Festuca",12142535-n,silver grass,TRUE
12142641-n,"Glyceria, genus Glyceria",12142762-n,"manna grass, sweet grass",TRUE
12143567-n,"Hordeum, genus Hordeum",12143761-n,barley,TRUE
12145022-n,"Lolium, genus Lolium",12145144-n,"rye grass, ryegrass",TRUE
12146299-n,"Oryza, genus Oryza",12146407-n,rice,TRUE
12146755-n,"Oryzopsis, genus Oryzopsis",12146877-n,"ricegrass, rice grass",TRUE
12147428-n,"Panicum, genus Panicum",12147547-n,panic grass,TRUE
12151733-n,"Poa, genus Poa",12151922-n,"bluegrass, blue grass",TRUE
12154817-n,"Setaria, genus Setaria",12155003-n,"bristlegrass, bristle grass",TRUE
12157461-n,"genus Sorghum, Sorghum",12157637-n,sorghum,TRUE
12159884-n,"Spartina, genus Spartina",12160092-n,"cordgrass, cord grass",TRUE
12160654-n,"Sporobolus, genus Sporobolus",12160875-n,"dropseed, drop-seed",TRUE
12160654-n,"Sporobolus, genus Sporobolus",12161420-n,"rush grass, rush-grass",TRUE
12162407-n,"Triticum, genus Triticum",12162602-n,wheat,TRUE
12166617-n,"genus Zoysia, Zoisia, genus Zoisia",12166828-n,zoysia,TRUE
12172923-n,"Eriophorum, genus Eriophorum",12173049-n,"cotton grass, cotton rush",TRUE
12173910-n,"Eleocharis, genus Eleocharis",12174097-n,spike rush,TRUE
12175145-n,genus Pandanus,12175290-n,"pandanus, screw pine",TRUE
12175976-n,"Typha, genus Typha",12176100-n,cattail,TRUE
12177001-n,"Sparganium, genus Sparganium",12177196-n,bur reed,TRUE
12371095-n,genus Canna,12371275-n,canna,TRUE
12371994-n,genus Maranta,12372117-n,maranta,TRUE
12372667-n,"Musa, genus Musa",12372804-n,"banana, banana tree",TRUE
12376111-n,"Zingiber, genus Zingiber",12376277-n,ginger,TRUE
12604805-n,genus Areca,12604939-n,areca,TRUE
12606871-n,genus Calamus,12607059-n,calamus,TRUE
12607628-n,"Caryota, genus Caryota",12607750-n,fishtail palm,TRUE
12609750-n,genus Corozo,12609903-n,"corozo, corozo palm",TRUE
12610878-n,"Elaeis, genus Elaeis",12610993-n,oil palm,TRUE
12614450-n,"phoenicophorium, genus Phoenicophorium",12610448-n,"latanier, latanier palm",TRUE
12616562-n,"Rhapis, genus Rhapis",12616725-n,lady palm,TRUE
12626280-n,"Xyris, genus Xyris",12626444-n,yellow-eyed grass,TRUE
12626988-n,genus Commelina,12627199-n,commelina,TRUE
12632240-n,"Naias, genus Naias, Najas, genus Najas",12632401-n,"naiad, water nymph",TRUE
12633171-n,"Sagittaria, genus Sagittaria",11688568-n,"monocot, monocotyledon, liliopsid, endogen",FALSE
12635078-n,"Elodea, genus Elodea, pondweed, ditchmoss",12635238-n,waterweed,TRUE
12637586-n,"Groenlandia, genus Groenlandia",12637757-n,frog's lettuce,TRUE
11723855-n,"Lauraceae, family Lauraceae, laurel family",11724138-n,laurel,TRUE
11733296-n,"Menispermaceae, family Menispermaceae, moonseed family",11733633-n,moonseed,TRUE
11735087-n,"Nymphaeaceae, family Nymphaeaceae, water-lily family",11735322-n,water lily,TRUE
11825073-n,"Caryophyllaceae, family Caryophyllaceae, carnation family, pink family",11825724-n,caryophyllaceous plant,TRUE
11838243-n,"Stellaria, genus Stellaria",11838383-n,chickweed,TRUE
11861998-n,"Cactaceae, family Cactaceae, cactus family",11862673-n,cactus,TRUE
11887994-n,"Cruciferae, family Cruciferae, Brassicaceae, family Brassicaceae, mustard family",11889283-n,"crucifer, cruciferous plant",TRUE
11887994-n,"Cruciferae, family Cruciferae, Brassicaceae, family Brassicaceae, mustard family",11889820-n,"cress, cress plant",FALSE
11887994-n,"Cruciferae, family Cruciferae, Brassicaceae, family Brassicaceae, mustard family",11890158-n,watercress,FALSE
11887994-n,"Cruciferae, family Cruciferae, Brassicaceae, family Brassicaceae, mustard family",11920390-n,wasabi,FALSE
11920527-n,"Papaveraceae, family Papaveraceae, poppy family",11921038-n,poppy,TRUE
12190293-n,"Malvaceae, family Malvaceae, mallow family",12191102-n,mallow,TRUE
12397467-n,"Dipterocarpaceae, family Dipterocarpaceae",12397715-n,dipterocarp,TRUE
11932060-n,"Compositae, family Compositae, Asteraceae, family Asteraceae, aster family",11935683-n,"composite, composite plant",TRUE
11932060-n,"Compositae, family Compositae, Asteraceae, family Asteraceae, aster family",11936127-n,"compass plant, compass flower",FALSE
11932060-n,"Compositae, family Compositae, Asteraceae, family Asteraceae, aster family",11936368-n,"everlasting, everlasting flower",FALSE
11932060-n,"Compositae, family Compositae, Asteraceae, family Asteraceae, aster family",11949018-n,wormwood,FALSE
11932060-n,"Compositae, family Compositae, Asteraceae, family Asteraceae, aster family",11949496-n,"sagebrush, sage brush",FALSE
11932060-n,"Compositae, family Compositae, Asteraceae, family Asteraceae, aster family",11964665-n,thistle,FALSE
11932060-n,"Compositae, family Compositae, Asteraceae, family Asteraceae, aster family",11970814-n,chrysanthemum,FALSE
12680770-n,"Rubiaceae, family Rubiaceae, madder family",12681362-n,"madderwort, rubiaceous plant",TRUE
12834153-n,"Bignoniaceae, family Bignoniaceae",12834513-n,bignoniad,TRUE
12849859-n,"Gesneriaceae, family Gesneriaceae, gesneria family",12850342-n,gesneriad,TRUE
12849859-n,"Gesneriaceae, family Gesneriaceae, gesneria family",12853075-n,gloxinia,FALSE
12858787-n,"Labiatae, family Labiatae, Lamiaceae, family Lamiaceae, mint family",11687305-n,"dicot, dicotyledon, magnoliopsid, exogen",FALSE
11767245-n,"Leguminosae, family Leguminosae, Fabaceae, family Fabaceae, legume family, pea family",11767937-n,"legume, leguminous plant",TRUE
11767245-n,"Leguminosae, family Leguminosae, Fabaceae, family Fabaceae, legume family, pea family",12515651-n,"locust tree, locust",TRUE
11767245-n,"Leguminosae, family Leguminosae, Fabaceae, family Fabaceae, legume family, pea family",12559811-n,wild pea,TRUE
11767245-n,"Leguminosae, family Leguminosae, Fabaceae, family Fabaceae, legume family, pea family",12576812-n,"bean, bean plant",TRUE
12361643-n,"Onagraceae, family Onagraceae, evening-primrose family",12364800-n,evening primrose,TRUE
12522250-n,"Papilionoideae, subfamily Papilionoideae",12541369-n,broom,TRUE
12568639-n,"Medicago, genus Medicago",12568785-n,"medic, medick, trefoil",TRUE
12705975-n,"Geraniaceae, family Geraniaceae, geranium family",12706192-n,geranium,TRUE
12711149-n,"Burseraceae, family Burseraceae, torchwood family",12711414-n,incense tree,TRUE
12715468-n,"Meliaceae, family Meliaceae, mahogany family",12715905-n,"mahogany, mahogany tree",TRUE
12736329-n,"Simaroubaceae, family Simaroubaceae, quassia family",12736674-n,bitterwood tree,TRUE
12950804-n,"Umbelliferae, family Umbelliferae, Apiaceae, family Apiaceae, carrot family",12951538-n,"umbellifer, umbelliferous plant",TRUE
12952498-n,genus Angelica,12952666-n,"angelica, angelique",TRUE
12177793-n,"Cucurbitaceae, family Cucurbitaceae, gourd family",12178286-n,"gourd, gourd vine",TRUE
12177793-n,"Cucurbitaceae, family Cucurbitaceae, gourd family",13121436-n,vine,FALSE
12310633-n,"Gentianaceae, family Gentianaceae, gentian family",12314240-n,gentian,FALSE
12343928-n,"Combretaceae, family Combretaceae, combretum family",12344182-n,"dhawa, dhava",TRUE
12350416-n,"Myrtaceae, family Myrtaceae, myrtle family",12350756-n,myrtaceous tree,TRUE
12843924-n,"Convolvulaceae, family Convolvulaceae, morning-glory family",12844619-n,bindweed,TRUE
13253910-n,"Asclepiadaceae, family Asclepiadaceae, milkweed family",13254333-n,asclepiad,TRUE
11714281-n,"Annona, genus Annona",11714450-n,"custard apple, custard apple tree",TRUE
11717857-n,"Berberis, genus Berberis",11718029-n,barberry,TRUE
11721145-n,"Calycanthus, genus Calycanthus",11721333-n,allspice,TRUE
11722550-n,"Ceratophyllum, genus Ceratophyllum",11722721-n,hornwort,TRUE
11727098-n,"Persea, genus Persea",11727230-n,"avocado, avocado tree, Persea Americana",TRUE
11728911-n,"Illicium, genus Illicium",11729127-n,anise tree,TRUE
11729919-n,genus Magnolia,11730143-n,magnolia,TRUE
11739589-n,"Paeonia, genus Paeonia",11739755-n,"peony, paeony",TRUE
11740557-n,"Ranunculus, genus Ranunculus",11740822-n,"buttercup, butterflower, butter-flower, crowfoot, goldcup, kingcup",TRUE
11743238-n,"Aconitum, genus Aconitum",11743451-n,aconite,TRUE
11744124-n,"Actaea, genus Actaea",11744239-n,"baneberry, cohosh, herb Christopher",TRUE
11745291-n,genus Anemone,11745484-n,"anemone, windflower",TRUE
11747394-n,genus Aquilegia,11747560-n,"columbine, aquilegia, aquilege",TRUE
11748819-n,"Cimicifuga, genus Cimicifuga",11748999-n,bugbane,TRUE
11749784-n,genus Clematis,11749947-n,clematis,TRUE
11753326-n,genus Delphinium,11753523-n,delphinium,TRUE
11754238-n,"Helleborus, genus Helleborus",11754373-n,hellebore,TRUE
11755341-n,genus Hepatica,11755522-n,"hepatica, liverleaf",TRUE
11757038-n,genus Nigella,11757163-n,nigella,TRUE
11757785-n,"Pulsatilla, genus Pulsatilla",11758003-n,"pasqueflower, pasque flower",TRUE
11758847-n,"Thalictrum, genus Thalictrum",11759016-n,meadow rue,TRUE
11759668-n,"Trollius, genus Trollius",11759834-n,"globeflower, globe flower",TRUE
12281110-n,"Fagus, genus Fagus",12281316-n,"beech, beech tree",TRUE
12282844-n,"Castanea, genus Castanea",12283070-n,"chestnut, chestnut tree",TRUE
12284771-n,"Castanopsis, genus Castanopsis",12285029-n,oak chestnut,TRUE
12286417-n,"Nothofagus, genus Nothofagus",12286734-n,"southern beech, evergreen beech",TRUE
12286417-n,"Nothofagus, genus Nothofagus",12287313-n,New Zealand beech,TRUE
12288613-n,"Quercus, genus Quercus",12288763-n,"oak, oak tree",TRUE
12301403-n,"Betula, genus Betula",12301758-n,"birch, birch tree",TRUE
12304498-n,"Alnus, genus Alnus",12304779-n,"alder, alder tree",TRUE
12307098-n,"Carpinus, genus Carpinus",12307343-n,hornbeam,TRUE
12307905-n,"Ostrya, genus Ostrya",12308159-n,hop hornbeam,TRUE
12309115-n,"Corylus, genus Corylus",12309340-n,"hazelnut, hazel, hazelnut tree",TRUE
12744961-n,"Salix, genus Salix",12745702-n,"willow, willow tree",TRUE
12744961-n,"Salix, genus Salix",12746281-n,osier,TRUE
12744961-n,"Salix, genus Salix",12747117-n,"cricket-bat willow, Salix alba caerulea",TRUE
12744961-n,"Salix, genus Salix",12748061-n,sallow,TRUE
12751962-n,"Populus, genus Populus",12752161-n,"poplar, poplar tree",TRUE
11826306-n,"Arenaria, genus Arenaria",11826425-n,sandwort,TRUE
11827444-n,"Cerastium, genus Cerastium",11827577-n,"mouse-ear chickweed, mouse eared chickweed, mouse ear, clammy chickweed, chickweed",TRUE
11828318-n,"Dianthus, genus Dianthus",11828448-n,"pink, garden pink",TRUE
11830391-n,genus Drypis,11830499-n,drypis,TRUE
11831777-n,genus Lychnis,11831942-n,"lychnis, catchfly",TRUE
11833778-n,"Paronychia, genus Paronychia",11833959-n,whitlowwort,TRUE
11834528-n,"Sagina, genus Sagina",11834707-n,"pearlwort, pearlweed, pearl-weed",TRUE
11835663-n,genus Silene,11835960-n,"silene, campion, catchfly",TRUE
11840792-n,genus Lithops,11840932-n,"lithops, living stone, stoneface, stone-face, stone plant, stone life face, flowering stone",TRUE
11841220-n,"Mesembryanthemum, genus Mesembryanthemum",11841434-n,"fig marigold, pebble plant",TRUE
11842246-n,"Pleiospilos, genus Pleiospilos",11842398-n,"living granite, living rock, stone mimicry plant",TRUE
11843318-n,"Amaranthus, genus Amaranthus",11843512-n,amaranth,TRUE
11846004-n,"Froelichia, genus Froelichia",11846218-n,cottonweed,TRUE
11846885-n,"Iresine, genus Iresine",11847038-n,bloodleaf,TRUE
11848582-n,"Chenopodium, genus Chenopodium",11848716-n,goosefoot,TRUE
11851039-n,"Atriplex, genus Atriplex",11851183-n,"orach, orache",FALSE
11851039-n,"Atriplex, genus Atriplex",11851375-n,saltbush,FALSE
11857025-n,"Abronia, genus Abronia",11857191-n,sand verbena,TRUE
11859210-n,"genus Bougainvillea, Bougainvillaea, genus Bougainvillaea",11859385-n,bougainvillea,TRUE
11859766-n,"Mirabilis, genus Mirabilis",11859929-n,umbrellawort,FALSE
11859766-n,"Mirabilis, genus Mirabilis",11860037-n,four o'clock,FALSE
11865120-n,"Cereus, genus Cereus",11865361-n,night-blooming cereus,TRUE
11865488-n,genus Coryphantha,11865746-n,coryphantha,TRUE
11865856-n,genus Echinocactus,11866026-n,"echinocactus, barrel cactus",TRUE
