QID,SSID,Wordnet Lemmas,Wikidata Labels,Count,Accept,Notes,Extra Type
http://www.wikidata.org/entity/Q56061,https://en-word.net/id/oewn-08542298-n,"city, metropolis, urban center","administrative territorial entity, administrative unit, administrative region",27,FALSE,,
http://www.wikidata.org/entity/Q56061,https://en-word.net/id/oewn-08709407-n,national capital,"administrative territorial entity, administrative unit, administrative region",16,FALSE,,
http://www.wikidata.org/entity/Q56061,https://en-word.net/id/oewn-08535783-n,capital,"administrative territorial entity, administrative unit, administrative region",16,FALSE,,
http://www.wikidata.org/entity/Q56061,https://en-word.net/id/oewn-08665520-n,seat,"administrative territorial entity, administrative unit, administrative region",16,FALSE,,
http://www.wikidata.org/entity/Q56061,https://en-word.net/id/oewn-08540894-n,"center, centre, middle, heart, eye","administrative territorial entity, administrative unit, administrative region",16,FALSE,,
http://www.wikidata.org/entity/Q56061,https://en-word.net/id/oewn-08514304-n,"area, country","administrative territorial entity, administrative unit, administrative region",16,FALSE,,
http://www.wikidata.org/entity/Q56061,https://en-word.net/id/oewn-09357302-n,"land, dry land, earth, ground, solid ground, terra firma","administrative territorial entity, administrative unit, administrative region",6,FALSE,,
http://www.wikidata.org/entity/Q56061,https://en-word.net/id/oewn-09339360-n,island,"administrative territorial entity, administrative unit, administrative region",5,FALSE,,
http://www.wikidata.org/entity/Q15661340,https://en-word.net/id/oewn-08643858-n,municipality,"ancient city, historical city, extinct city",29,FALSE,,
http://www.wikidata.org/entity/Q15661340,https://en-word.net/id/oewn-08693705-n,"urban area, populated area","ancient city, historical city, extinct city",29,FALSE,,
http://www.wikidata.org/entity/Q15661340,https://en-word.net/id/oewn-08508836-n,"administrative district, administrative division, territorial division","ancient city, historical city, extinct city",29,FALSE,,
http://www.wikidata.org/entity/Q15661340,https://en-word.net/id/oewn-08591861-n,"geographical area, geographic area, geographical region, geographic region","ancient city, historical city, extinct city",29,FALSE,,
http://www.wikidata.org/entity/Q15661340,https://en-word.net/id/oewn-08569713-n,"district, territory, territorial dominion, dominion","ancient city, historical city, extinct city",29,FALSE,,
http://www.wikidata.org/entity/Q15661340,https://en-word.net/id/oewn-08648560-n,region,"ancient city, historical city, extinct city",29,FALSE,,
http://www.wikidata.org/entity/Q15661340,https://en-word.net/id/oewn-00027365-n,location,"ancient city, historical city, extinct city",29,FALSE,,
http://www.wikidata.org/entity/Q15661340,https://en-word.net/id/oewn-08542298-n,"city, metropolis, urban center","ancient city, historical city, extinct city",26,TRUE,,
http://www.wikidata.org/entity/Q28171280,https://en-word.net/id/oewn-08648560-n,region,"ancient civilization, ancient civilisation, lost civilisation",8,FALSE,,
http://www.wikidata.org/entity/Q28171280,https://en-word.net/id/oewn-00027365-n,location,"ancient civilization, ancient civilisation, lost civilisation",8,FALSE,,
http://www.wikidata.org/entity/Q28171280,https://en-word.net/id/oewn-08591861-n,"geographical area, geographic area, geographical region, geographic region","ancient civilization, ancient civilisation, lost civilisation",7,FALSE,,
http://www.wikidata.org/entity/Q146083,https://en-word.net/id/oewn-09534037-n,Egyptian deity,"Ancient Egyptian deity, ancient Egyptian deities, ancient Egyptian god",8,TRUE,,
http://www.wikidata.org/entity/Q146083,https://en-word.net/id/oewn-09528550-n,"deity, divinity, god, immortal","Ancient Egyptian deity, ancient Egyptian deities, ancient Egyptian god",8,FALSE,,
http://www.wikidata.org/entity/Q146083,https://en-word.net/id/oewn-09527267-n,"spiritual being, supernatural being","Ancient Egyptian deity, ancient Egyptian deities, ancient Egyptian god",8,FALSE,,
http://www.wikidata.org/entity/Q146083,https://en-word.net/id/oewn-05950141-n,belief,"Ancient Egyptian deity, ancient Egyptian deities, ancient Egyptian god",8,FALSE,,
http://www.wikidata.org/entity/Q146083,https://en-word.net/id/oewn-05817200-n,"content, cognitive content, mental object","Ancient Egyptian deity, ancient Egyptian deities, ancient Egyptian god",8,FALSE,,
http://www.wikidata.org/entity/Q146083,https://en-word.net/id/oewn-00023451-n,"cognition, knowledge, noesis","Ancient Egyptian deity, ancient Egyptian deities, ancient Egyptian god",8,FALSE,,
http://www.wikidata.org/entity/Q146083,https://en-word.net/id/oewn-00023280-n,psychological feature,"Ancient Egyptian deity, ancient Egyptian deities, ancient Egyptian god",8,FALSE,,
