Taxon,Name,Definition,OEWN,Taxon,Name,Definition,Wikidata QID,Type,Accept,Notes
order,Caryophyllales,corresponds approximately to the older group Centrospermae,https://en-word.net/id/oewn-11824551-n,order,Caryophyllales,order of plants,https://www.wikidata.org/entity/Q21808,Exact,TRUE,
family,Caryophyllaceae,large family of herbs or subshrubs (usually with stems swollen at the nodes),https://en-word.net/id/oewn-11825073-n,family,Caryophyllaceae,family of plants,https://www.wikidata.org/entity/Q25995,Exact,TRUE,
genus,Agrostemma,a caryophylloid dicot genus including corn cockles,https://en-word.net/id/oewn-11825849-n,genus,Agrostemma,genus of plants,https://www.wikidata.org/entity/Q148897,Exact,TRUE,
genus,Arenaria,turnstones,https://en-word.net/id/oewn-02027577-n,genus,Arenaria,genus of birds,https://www.wikidata.org/entity/Q4865776,Conflict,TRUE,
genus,Arenaria,turnstones,https://en-word.net/id/oewn-02027577-n,genus,Arenaria,genus of plants,https://www.wikidata.org/entity/Q1061117,Conflict,FALSE,
genus,Cerastium,mouse-eared chickweed,https://en-word.net/id/oewn-11827444-n,genus,Cerastium,genus of plants,https://www.wikidata.org/entity/Q157483,Exact,TRUE,
genus,Dianthus,carnations and pinks,https://en-word.net/id/oewn-11828318-n,genus,Dianthus,genus of flowering plants,https://www.wikidata.org/entity/Q156099,Exact,TRUE,
genus,Drypis,a flowering plant genus in the family Caryophyllaceae (Drypis),https://en-word.net/id/oewn-11830391-n,genus,Drypis,genus of plants,https://www.wikidata.org/entity/Q5309794,Exact,TRUE,
genus,Gypsophila,Mediterranean herbs having small white or pink flowers,https://en-word.net/id/oewn-11830659-n,genus,Gypsophila,genus of birds,https://www.wikidata.org/entity/Q18457898,Conflict,FALSE,
genus,Gypsophila,Mediterranean herbs having small white or pink flowers,https://en-word.net/id/oewn-11830659-n,genus,Gypsophila,genus of flowering plants,https://www.wikidata.org/entity/Q161948,Conflict,TRUE,
genus,Illecebrum,one species: coral necklace,https://en-word.net/id/oewn-11831387-n,genus,Illecebrum,genus of plants,https://www.wikidata.org/entity/Q163433,Exact,FALSE,
genus,Lychnis,genus of plants strongly resembling those of genus Silene: catchfly,https://en-word.net/id/oewn-11831777-n,genus,Lychnis,genus of plants,https://www.wikidata.org/entity/Q158863,Exact,TRUE,
genus,Minuartia,mostly perennial herbs of Northern Hemisphere often with mat-forming habit; most often placed in genus Arenaria: sandworts,https://en-word.net/id/oewn-11832827-n,genus,Minuartia,genus of plants,https://www.wikidata.org/entity/Q163073,Exact,TRUE,
genus,Moehringia,low-growing herbs widely distributed in temperate and Arctic Northern Hemisphere: sandworts; distinguished from members of the genus Arenaria mainly by having four-petaled rather than five-petaled flowers,https://en-word.net/id/oewn-11833042-n,genus,Moehringia,genus of plants,https://www.wikidata.org/entity/Q161411,Exact,TRUE,
genus,Paronychia,low-growing annual or perennial herbs or woody plants; whitlowworts,https://en-word.net/id/oewn-11833778-n,genus,Paronychia,genus of plants,https://www.wikidata.org/entity/Q3365995,Exact,TRUE,
genus,Petrocoptis,perennial tussock-forming rock plants; of Pyrenees and mountains of northern Spain; similar to and sometimes placed in genus Lychnis,https://en-word.net/id/oewn-11834299-n,genus,Petrocoptis,genus of plants,https://www.wikidata.org/entity/Q10348998,Exact,TRUE,
genus,Sagina,small low-growing annual or perennial herbs of temperate and cool regions,https://en-word.net/id/oewn-11834528-n,genus,Sagina,genus of plants,https://www.wikidata.org/entity/Q163066,Exact,TRUE,
genus,Saponaria,mostly perennial Old World herbs,https://en-word.net/id/oewn-11834909-n,genus,Saponaria,genus of plants,https://www.wikidata.org/entity/Q157500,Exact,TRUE,
genus,Scleranthus,small genus of Old World weedy prostrate annuals: knawel,https://en-word.net/id/oewn-11835293-n,genus,Scleranthus,genus of plants,https://www.wikidata.org/entity/Q158561,Exact,TRUE,
genus,Silene,large widely distributed genus of plants having mostly showy flowers of various colors: campion; catchfly,https://en-word.net/id/oewn-11835663-n,genus,Silene,genus of insects,https://www.wikidata.org/entity/Q2682085,Conflict,FALSE,
genus,Silene,large widely distributed genus of plants having mostly showy flowers of various colors: campion; catchfly,https://en-word.net/id/oewn-11835663-n,genus,Silene,genus of plants,https://www.wikidata.org/entity/Q116209,Conflict,TRUE,
genus,Spergula,small genus of Old World annual herbs: corn spurry,https://en-word.net/id/oewn-11837469-n,genus,Spergula,genus of plants,https://www.wikidata.org/entity/Q162766,Exact,TRUE,
genus,Spergularia,chiefly maritime Eurasian herbs: sand spurry; sea spurry,https://en-word.net/id/oewn-11837798-n,genus,Spergularia,genus of plants,https://www.wikidata.org/entity/Q163048,Exact,TRUE,
genus,Stellaria,common chickweed; stitchwort,https://en-word.net/id/oewn-11838243-n,genus,Stellaria,genus of molluscs,https://www.wikidata.org/entity/Q7607207,Conflict,FALSE,
genus,Stellaria,common chickweed; stitchwort,https://en-word.net/id/oewn-11838243-n,genus,Stellaria,genus of plants,https://www.wikidata.org/entity/Q156694,Conflict,TRUE,
genus,Vaccaria,cow-cockles,https://en-word.net/id/oewn-11838984-n,genus,Vaccaria,genus of plants,https://www.wikidata.org/entity/Q161470,Exact,TRUE,
family,Tetragoniaceae,succulent herbs or small shrubs mostly of South Africa but also New Zealand and North America: carpetweeds; fig marigolds,https://en-word.net/id/oewn-11839414-n,family,Tetragoniaceae,family of plants,https://www.wikidata.org/entity/Q9362523,Conflict,FALSE,secondary
family,Aizoaceae,succulent herbs or small shrubs mostly of South Africa but also New Zealand and North America: carpetweeds; fig marigolds,https://en-word.net/id/oewn-11839414-n,family,Aizoaceae,family of plants,https://www.wikidata.org/entity/Q156219,Conflict,TRUE,
genus,Carpobrotus,a caryophyllaceous genus of Carpobrotus,https://en-word.net/id/oewn-11839823-n,genus,Carpobrotus,genus of plants,https://www.wikidata.org/entity/Q134968,Exact,TRUE,
genus,Dorotheanthus,a caryophyllaceous genus of Dorotheanthus,https://en-word.net/id/oewn-11840220-n,genus,Dorotheanthus,genus of plants in the family Aizoaceae,https://www.wikidata.org/entity/Q143939,Exact,TRUE,
genus,Lithops,genus of stemless South African succulents,https://en-word.net/id/oewn-11840792-n,genus,Lithops,genus of plants,https://www.wikidata.org/entity/Q133283,Exact,TRUE,
genus,Mesembryanthemum,South African annual or biennial plants having flowers that open only in bright sunlight,https://en-word.net/id/oewn-11841220-n,genus,Mesembryanthemum,genus of plants,https://www.wikidata.org/entity/Q1922381,Exact,TRUE,
genus,Pleiospilos,perennial succulents of South Africa,https://en-word.net/id/oewn-11842246-n,genus,Pleiospilos,genus of plants,https://www.wikidata.org/entity/Q310614,Exact,TRUE,
genus,Tetragonia,New Zealand spinach,https://en-word.net/id/oewn-11842636-n,genus,Tetragonia,genus of plants,https://www.wikidata.org/entity/Q133932,Conflict,TRUE,
genus,Tetragonia,New Zealand spinach,https://en-word.net/id/oewn-11842636-n,genus,Tetragonia,genus of insects,https://www.wikidata.org/entity/Q21443950,Conflict,FALSE,
family,Amaranthaceae,cosmopolitan family of herbs and shrubs,https://en-word.net/id/oewn-11843026-n,family,Amaranthaceae,family of plants,https://www.wikidata.org/entity/Q155931,Exact,TRUE,
genus,Amaranthus,large widely distributed genus of chiefly coarse annual herbs,https://en-word.net/id/oewn-11843318-n,genus,Amaranthus,genus of plants,https://www.wikidata.org/entity/Q156344,Exact,TRUE,
genus,Alternanthera,genus of low herbs of tropical America and Australia; includes genus Telanthera,https://en-word.net/id/oewn-11845017-n,genus,Alternanthera,genus of plants,https://www.wikidata.org/entity/Q2840398,Exact,TRUE,
genus,Celosia,annual or perennial herbs or vines of tropical and subtropical America and Asia and Africa,https://en-word.net/id/oewn-11845482-n,genus,Celosia,genus of plants in the amaranth family,https://www.wikidata.org/entity/Q159223,Exact,TRUE,
genus,Froelichia,genus of erect or procumbent herbs of the Americas having spikes of woolly white flowers: cottonweed,https://en-word.net/id/oewn-11846004-n,genus,Froelichia,genus of plants,https://www.wikidata.org/entity/Q5505160,Exact,TRUE,
genus,Gomphrena,genus of tropical herbs or subshrubs having flowers in close heads; tropical America and Australia,https://en-word.net/id/oewn-11846457-n,genus,Gomphrena,genus of plants,https://www.wikidata.org/entity/Q1446121,Exact,TRUE,
genus,Iresine,genus of tropical American herbs or subshrubs,https://en-word.net/id/oewn-11846885-n,genus,Iresine,genus of plants,https://www.wikidata.org/entity/Q1672624,Exact,TRUE,
genus,Telanthera,used in former classifications systems; now included in genus Alternanthera,https://en-word.net/id/oewn-11847468-n,genus,Telanthera,genus of plants,https://www.wikidata.org/entity/Q17377912,Exact,TRUE,
genus,Batis,small genus of plants constituting the family Batidaceae: low straggling dioecious shrubs,https://en-word.net/id/oewn-11847817-n,genus,Batis,genus of plants,https://www.wikidata.org/entity/Q134459,Conflict,TRUE,
genus,Batis,small genus of plants constituting the family Batidaceae: low straggling dioecious shrubs,https://en-word.net/id/oewn-11847817-n,genus,Batis,genus of birds,https://www.wikidata.org/entity/Q3291163,Conflict,FALSE,
family,Chenopodiaceae,includes spinach and beets,https://en-word.net/id/oewn-11848244-n,family,Chenopodiaceae,family of plants,https://www.wikidata.org/entity/Q157881,Exact,TRUE,
genus,Chenopodium,goosefoot; pigweed,https://en-word.net/id/oewn-11848582-n,genus,Chenopodium,genus of plants,https://www.wikidata.org/entity/Q158094,Exact,TRUE,
genus,Atriplex,orach; saltbush,https://en-word.net/id/oewn-11851039-n,genus,Atriplex,genus of plants,https://www.wikidata.org/entity/Q157801,Exact,TRUE,
genus,Bassia,summer cypress,https://en-word.net/id/oewn-11852199-n,genus,Bassia,genus of plants,https://www.wikidata.org/entity/Q158343,Conflict,TRUE,
genus,Bassia,summer cypress,https://en-word.net/id/oewn-11852199-n,genus,Bassia,genus of cnidarians,https://www.wikidata.org/entity/Q61652079,Conflict,FALSE,
genus,Kochia,summer cypress,https://en-word.net/id/oewn-11852199-n,genus,Kochia,genus of plants,https://www.wikidata.org/entity/Q1046600,Conflict,FALSE,secondary
genus,Beta,beets,https://en-word.net/id/oewn-11852577-n,genus,Beta,genus of the foxtail family,https://www.wikidata.org/entity/Q3761162,Exact,TRUE,
genus,Cycloloma,"a caryophyllaceous genus of the family Chenopodiaceae, containing Cycloloma atriplicifolium, also known as winged pigweed, tumble ringwing, plains tumbleweed, and tumble-weed (Cycloloma)",https://en-word.net/id/oewn-11853677-n,genus,Cycloloma,genus of plants,https://www.wikidata.org/entity/Q8352821,Exact,TRUE,
genus,Halogeton,"a caryophyllaceous genus of the family Chenopodiaceae, its name is derived from the Greek words ‘salt’ and ‘neighbour’ (Halogeton)",https://en-word.net/id/oewn-11854046-n,genus,Halogeton,genus of plants,https://www.wikidata.org/entity/Q1024025,Exact,TRUE,
genus,Salicornia,glassworts,https://en-word.net/id/oewn-11854617-n,genus,Salicornia,genus of edible plants living in marsh water,https://www.wikidata.org/entity/Q159525,Conflict,TRUE,
genus,Salicornia,glassworts,https://en-word.net/id/oewn-11854617-n,genus,Salicornia,extinct genus of bryozoans,https://www.wikidata.org/entity/Q107266541,Conflict,FALSE,
genus,Salsola,chiefly Old World herbs or shrubs: saltworts,https://en-word.net/id/oewn-11854990-n,genus,Salsola,genus of plants,https://www.wikidata.org/entity/Q159544,Exact,TRUE,
genus,Sarcobatus,one species: greasewood,https://en-word.net/id/oewn-11855583-n,genus,Sarcobatus,genus of plants,https://www.wikidata.org/entity/Q131616,Exact,TRUE,
genus,Spinacia,spinach,https://en-word.net/id/oewn-11855920-n,genus,Spinacia,genus of plants,https://www.wikidata.org/entity/Q148968,Exact,TRUE,
family,Nyctaginaceae,a family of flowering plants of the order Caryophyllales,https://en-word.net/id/oewn-11856275-n,family,Nyctaginaceae,family of plants,https://www.wikidata.org/entity/Q156227,Conflict,TRUE,
family,Allioniaceae,a family of flowering plants of the order Caryophyllales,https://en-word.net/id/oewn-11856275-n,family,Allioniaceae,family of plants,https://www.wikidata.org/entity/Q85205853,Conflict,FALSE,secondary
genus,Nyctaginia,a caryophyllaceous genus of the family Nyctaginaceae having only one species,https://en-word.net/id/oewn-11856606-n,genus,Nyctaginia,monotypic genus of plants,https://www.wikidata.org/entity/Q10338319,Exact,TRUE,
genus,Abronia,genus of western North American herbs having showy flowers,https://en-word.net/id/oewn-11857025-n,genus,Abronia,genus of plants,https://www.wikidata.org/entity/Q312349,Conflict,TRUE,
genus,Abronia,genus of western North American herbs having showy flowers,https://en-word.net/id/oewn-11857025-n,genus,Abronia,"genus of lizards, family of Anguidae",https://www.wikidata.org/entity/Q574039,Conflict,FALSE,
genus,Allionia,small genus of chiefly American herbs,https://en-word.net/id/oewn-11858735-n,genus,Allionia,genus of plants,https://www.wikidata.org/entity/Q950253,Exact,TRUE,
genus,Bougainvillea,ornamental tropical woody vines,https://en-word.net/id/oewn-11859210-n,genus,Bougainvillea,genus of plants,https://www.wikidata.org/entity/Q156996,Exact,TRUE,
genus,Mirabilis,four o'clocks,https://en-word.net/id/oewn-11859766-n,genus,Mirabilis,genus of plants,https://www.wikidata.org/entity/Q158323,Exact,TRUE,
genus,Pisonia,genus of often thorny tropical trees and shrubs and some vines; mainly America,https://en-word.net/id/oewn-11861530-n,genus,Pisonia,genus of plants,https://www.wikidata.org/entity/Q135334,Exact,TRUE,
order,Opuntiales,coextensive with the family Cactaceae: cactuses,https://en-word.net/id/oewn-11861837-n,order,Opuntiales,order of plants,https://www.wikidata.org/entity/Q14915568,Exact,TRUE,
family,Cactaceae,constituting the order Opuntiales,https://en-word.net/id/oewn-11861998-n,family,Cactaceae,"family of mostly succulent plants, adapted to dry environments",https://www.wikidata.org/entity/Q14560,Exact,TRUE,
genus,Acanthocereus,mostly trailing cacti having nocturnal white flowers; tropical America and Caribbean region,https://en-word.net/id/oewn-11863330-n,genus,Acanthocereus,genus of plants,https://www.wikidata.org/entity/Q133872,Exact,TRUE,
genus,Aporocactus,small genus of epiphytic cacti of Mexico,https://en-word.net/id/oewn-11863754-n,genus,Aporocactus,genus of plants,https://www.wikidata.org/entity/Q2858521,Exact,TRUE,
genus,Ariocarpus,slow-growing geophytic cacti; northern and eastern Mexico; southern Texas,https://en-word.net/id/oewn-11864178-n,genus,Ariocarpus,genus of plants,https://www.wikidata.org/entity/Q131642,Exact,TRUE,
genus,Carnegiea,caryophylloid dicot genus with only one species: saguaro,https://en-word.net/id/oewn-11864672-n,genus,Carnegiea,genus of plants,https://www.wikidata.org/entity/Q8175886,Exact,TRUE,
genus,Cereus,genus of much-branched treelike or shrubby cacti with pronounced ribs and rounded needlelike spines and nocturnal flowers usually white,https://en-word.net/id/oewn-11865120-n,genus,Cereus,genus of cnidarians,https://www.wikidata.org/entity/Q5064220,Conflict,FALSE,
genus,Cereus,genus of much-branched treelike or shrubby cacti with pronounced ribs and rounded needlelike spines and nocturnal flowers usually white,https://en-word.net/id/oewn-11865120-n,genus,Cereus,genus of plants,https://www.wikidata.org/entity/Q5317148,Conflict,TRUE,
genus,Coryphantha,mainly globose cacti of southwestern United States and Mexico covered with many nodules; superficially resembling and formerly included in genus Mammillaria,https://en-word.net/id/oewn-11865488-n,genus,Coryphantha,genus of plants,https://www.wikidata.org/entity/Q133876,Exact,TRUE,
genus,Echinocactus,globular or cylindrical cacti; southwestern United States to Brazil,https://en-word.net/id/oewn-11865856-n,genus,Echinocactus,genus of plants,https://www.wikidata.org/entity/Q133014,Exact,TRUE,
genus,Echinocereus,large genus of low-growing shrubby ribbed cacti of Mexico and southwestern United States,https://en-word.net/id/oewn-11866556-n,genus,Echinocereus,genus of plants,https://www.wikidata.org/entity/Q311156,Exact,TRUE,
genus,Epiphyllum,small genus of tropical American (mainly Central America) cacti,https://en-word.net/id/oewn-11867051-n,genus,Epiphyllum,genus of plants,https://www.wikidata.org/entity/Q310964,Conflict,TRUE,
genus,Epiphyllum,small genus of tropical American (mainly Central America) cacti,https://en-word.net/id/oewn-11867051-n,genus,Epiphyllum,genus of protists,https://www.wikidata.org/entity/Q25661060,Conflict,FALSE,
genus,Ferocactus,genus of nearly globular cacti of Mexico and southwestern United States: barrel cacti,https://en-word.net/id/oewn-11867439-n,genus,Ferocactus,genus of plants,https://www.wikidata.org/entity/Q131727,Exact,TRUE,
genus,Gymnocalycium,large genus of low-growing globular South American cacti with spiny ribs covered with many tubercles,https://en-word.net/id/oewn-11867883-n,genus,Gymnocalycium,genus of plants,https://www.wikidata.org/entity/Q131641,Exact,TRUE,
genus,Harrisia,genus of slender often treelike spiny cacti with solitary showy nocturnal white or pink flowers; Florida and Caribbean to South America,https://en-word.net/id/oewn-11868084-n,genus,Harrisia,genus of insects,https://www.wikidata.org/entity/Q5447584,Conflict,FALSE,
genus,Harrisia,genus of slender often treelike spiny cacti with solitary showy nocturnal white or pink flowers; Florida and Caribbean to South America,https://en-word.net/id/oewn-11868084-n,genus,Harrisia,,https://www.wikidata.org/entity/Q124477740,Conflict,FALSE,
genus,Harrisia,genus of slender often treelike spiny cacti with solitary showy nocturnal white or pink flowers; Florida and Caribbean to South America,https://en-word.net/id/oewn-11868084-n,genus,Harrisia,genus of plants,https://www.wikidata.org/entity/Q133985,Conflict,TRUE,
genus,Hatiora,small genus of South American epiphytic or lithophytic cacti,https://en-word.net/id/oewn-11868310-n,genus,Hatiora,genus of plants,https://www.wikidata.org/entity/Q133297,Exact,TRUE,
genus,Hylocereus,genus of climbing or epiphytic tropical American cacti with angular stems and mostly white very fragrant flowers,https://en-word.net/id/oewn-11868722-n,genus,Hylocereus,genus of plants,https://www.wikidata.org/entity/Q133960,Exact,TRUE,
genus,Lemaireocereus,tropical American cacti usually tall and branching with stout spines and funnel-shaped flowers and globular or ovoid often edible fruit,https://en-word.net/id/oewn-11869079-n,genus,Lemaireocereus,genus of plants,https://www.wikidata.org/entity/Q14931532,Exact,TRUE,
genus,Lophophora,two species of small cacti of northeastern Mexico and southwestern United States having rounded stems covered with jointed tubercles: mescal,https://en-word.net/id/oewn-11869486-n,genus,Lophophora,genus of insects,https://www.wikidata.org/entity/Q2618691,Conflict,FALSE,
genus,Lophophora,two species of small cacti of northeastern Mexico and southwestern United States having rounded stems covered with jointed tubercles: mescal,https://en-word.net/id/oewn-11869486-n,genus,Lophophora,genus of plants,https://www.wikidata.org/entity/Q132102,Conflict,TRUE,
genus,Mammillaria,large genus of cacti characterized chiefly by nipple-shaped protuberances or tubercles on their surface,https://en-word.net/id/oewn-11870135-n,genus,Mammillaria,genus of plants,https://www.wikidata.org/entity/Q311120,Exact,TRUE,
genus,Melocactus,genus of strongly ribbed globose or spheroid cacti of tropical South and Central America and the Caribbean,https://en-word.net/id/oewn-11870605-n,genus,Melocactus,genus of plants,https://www.wikidata.org/entity/Q310879,Exact,TRUE,
genus,Myrtillocactus,small genus of arborescent cacti of Mexico and Central America,https://en-word.net/id/oewn-11870806-n,genus,Myrtillocactus,genus of plants,https://www.wikidata.org/entity/Q133864,Exact,TRUE,
genus,Pediocactus,low-growing cacti of the Great Plains of North America,https://en-word.net/id/oewn-11871217-n,genus,Pediocactus,genus of plants,https://www.wikidata.org/entity/Q133563,Exact,TRUE,
genus,Nopalea,a genus of the cactus family with scarlet flowers,https://en-word.net/id/oewn-11871570-n,genus,Nopalea,genus of plants,https://www.wikidata.org/entity/Q10859058,Exact,TRUE,
genus,Opuntia,large genus of cactuses native to America: prickly pears,https://en-word.net/id/oewn-11871864-n,genus,Opuntia,genus of cactus,https://www.wikidata.org/entity/Q158991,Exact,TRUE,
genus,Peireskia,genus of tropical American shrubby trees and woody climbers having slender branches with broad flat leaves and large panicles of flowers,https://en-word.net/id/oewn-11872724-n,genus,Peireskia,,https://www.wikidata.org/entity/Q87237492,Conflict,FALSE,secondary
genus,Pereskia,genus of tropical American shrubby trees and woody climbers having slender branches with broad flat leaves and large panicles of flowers,https://en-word.net/id/oewn-11872724-n,genus,Pereskia,genus of plants in the family Cactaceae,https://www.wikidata.org/entity/Q131724,Conflict,TRUE,
genus,Rhipsalis,large genus of epiphytic or lithophytic unarmed cacti with usually segmented stems and pendulous branches; flowers are small followed by berrylike fruits,https://en-word.net/id/oewn-11873283-n,genus,Rhipsalis,genus of plants,https://www.wikidata.org/entity/Q132296,Exact,TRUE,
genus,Schlumbergera,South American epiphytic or lithophytic cacti,https://en-word.net/id/oewn-11873660-n,genus,Schlumbergera,genus of plants,https://www.wikidata.org/entity/Q240857,Exact,TRUE,
genus,Selenicereus,mostly epiphytic climbing cacti that bloom at night,https://en-word.net/id/oewn-11874113-n,genus,Selenicereus,genus of plants,https://www.wikidata.org/entity/Q132870,Exact,TRUE,
genus,Zygocactus,small genus of Brazilian cacti having flat fleshy usually branched joints and showy red or pink flowers followed by red fleshy fruits,https://en-word.net/id/oewn-11874701-n,genus,Zygocactus,genus of plants,https://www.wikidata.org/entity/Q15710811,Exact,TRUE,
family,Phytolaccaceae,"chiefly tropical herbaceous plants (including shrubs and trees) with racemose flowers: genera Phytolacca, Agdestis, Ercilla, Rivina, Trichostigma",https://en-word.net/id/oewn-11875229-n,family,Phytolaccaceae,family of plants,https://www.wikidata.org/entity/Q156981,Exact,TRUE,
genus,Phytolacca,type genus of Phytolaccaceae: pokeweed,https://en-word.net/id/oewn-11875591-n,genus,Phytolacca,genus of plants,https://www.wikidata.org/entity/Q162075,Exact,TRUE,
genus,Agdestis,a genus with one species that is a rapidly growing climbing vine with tuberous roots; grown in hot climates,https://en-word.net/id/oewn-11876524-n,genus,Agdestis,genus of plants,https://www.wikidata.org/entity/Q5390212,Exact,TRUE,
genus,Ercilla,a genus of evergreen climbers,https://en-word.net/id/oewn-11876740-n,genus,Ercilla,genus of plants,https://www.wikidata.org/entity/Q1348619,Exact,TRUE,
genus,Rivina,small genus of erect perennial shrubby herbs; tropical and subtropical America,https://en-word.net/id/oewn-11876858-n,genus,Rivina,genus of plants,https://www.wikidata.org/entity/Q2714585,Exact,TRUE,
genus,Trichostigma,a genus of erect or climbing shrubs found in tropical South America,https://en-word.net/id/oewn-11877284-n,genus,Trichostigma,genus of plants,https://www.wikidata.org/entity/Q3004024,Exact,TRUE,
family,Portulacaceae,family of usually succulent herbs; cosmopolitan in distribution especially in Americas,https://en-word.net/id/oewn-11877450-n,family,Portulacaceae,family of plants,https://www.wikidata.org/entity/Q521874,Exact,TRUE,
genus,Portulaca,genus of mainly tropical fleshy or trailing herbs,https://en-word.net/id/oewn-11877997-n,genus,Portulaca,genus of flowering plants,https://www.wikidata.org/entity/Q159554,Exact,TRUE,
genus,Calandrinia,large genus of low-growing herbs; widespread throughout tropical and warm temperate regions having usually basal leaves and panicles of purplish ephemeral flowers,https://en-word.net/id/oewn-11878875-n,genus,Calandrinia,genus of plants,https://www.wikidata.org/entity/Q629492,Exact,TRUE,
genus,Claytonia,genus of mainly North American succulent herbs with white or pink flowers usually in terminal racemes,https://en-word.net/id/oewn-11879493-n,genus,Claytonia,genus of plants,https://www.wikidata.org/entity/Q164192,Conflict,TRUE,
genus,Claytonia,genus of mainly North American succulent herbs with white or pink flowers usually in terminal racemes,https://en-word.net/id/oewn-11879493-n,genus,Claytonia,genus of sponges,https://www.wikidata.org/entity/Q31871871,Conflict,FALSE,
genus,Lewisia,genus of western North American low-growing herbs having linear woolly leaves and large pink flowers,https://en-word.net/id/oewn-11880450-n,genus,Lewisia,genus of plants,https://www.wikidata.org/entity/Q879036,Conflict,TRUE,
genus,Lewisia,genus of western North American low-growing herbs having linear woolly leaves and large pink flowers,https://en-word.net/id/oewn-11880450-n,genus,Lewisia,genus of molluscs,https://www.wikidata.org/entity/Q107310019,Conflict,FALSE,
genus,Montia,small genus of densely tufted annual herbs; north temperate regions and South America and tropical Africa and Asia,https://en-word.net/id/oewn-11881270-n,genus,Montia,genus of molluscs (fossil),https://www.wikidata.org/entity/Q31870535,Conflict,FALSE,
genus,Montia,small genus of densely tufted annual herbs; north temperate regions and South America and tropical Africa and Asia,https://en-word.net/id/oewn-11881270-n,genus,Montia,genus of plants,https://www.wikidata.org/entity/Q160046,Conflict,TRUE,
genus,Spraguea,small genus of usually perennial herbs having deep woody taproots and flower heads of umbels or cymes,https://en-word.net/id/oewn-11882558-n,genus,Spraguea,genus of plants,https://www.wikidata.org/entity/Q10373941,Exact,TRUE,
genus,Talinum,genus of mainly American more-or-less succulent herbs,https://en-word.net/id/oewn-11883067-n,genus,Talinum,genus of plants,https://www.wikidata.org/entity/Q138395,Exact,TRUE,
order,Rhoeadales,"an order of dicotyledonous plants, containing the families Capparidaceae, Cruciferae, Moringaceae, Papaveraceae, Resedaceae, and Tovariaceae (Rhoeadales, Papaverales)",https://en-word.net/id/oewn-11884833-n,order,Rhoeadales,order of plants,https://www.wikidata.org/entity/Q2206636,Conflict,TRUE,
order,Papaverales,"an order of dicotyledonous plants, containing the families Capparidaceae, Cruciferae, Moringaceae, Papaveraceae, Resedaceae, and Tovariaceae (Rhoeadales, Papaverales)",https://en-word.net/id/oewn-11884833-n,order,Papaverales,order of plants,https://www.wikidata.org/entity/Q10743649,Conflict,FALSE,secondary
family,Capparidaceae,"a dilleniid dicot family of the order Rhoeadales that includes: genera Capparis, Cleome, Crateva, and Polanisia",https://en-word.net/id/oewn-11885071-n,family,Capparidaceae,family of plants,https://www.wikidata.org/entity/Q35146354,Exact,TRUE,
genus,Capparis,tropical or subtropical evergreen shrubs or small trees,https://en-word.net/id/oewn-11885375-n,genus,Capparis,genus of plants,https://www.wikidata.org/entity/Q157866,Exact,TRUE,
genus,Cleome,tropical and subtropical annual or perennial herbs or low shrubs,https://en-word.net/id/oewn-11886547-n,genus,Cleome,genus of plants,https://www.wikidata.org/entity/Q2086565,Exact,TRUE,
genus,Crateva,tropical genus of small trees or shrubs,https://en-word.net/id/oewn-11887411-n,genus,Crateva,genus of plants,https://www.wikidata.org/entity/Q311137,Exact,TRUE,
genus,Polanisia,widely distributed herbs having palmate leaves and creamy white to or pink to magenta flowers with many stamens of unequal length,https://en-word.net/id/oewn-11887539-n,genus,Polanisia,genus of plants,https://www.wikidata.org/entity/Q2277970,Exact,TRUE,
family,Brassicaceae,"a large family of plants with four-petaled flowers; includes mustards, cabbages, broccoli, turnips, cresses, and their many relatives",https://en-word.net/id/oewn-11887994-n,family,Brassicaceae,family of plants,https://www.wikidata.org/entity/Q156888,Conflict,TRUE,
family,Cruciferae,"a large family of plants with four-petaled flowers; includes mustards, cabbages, broccoli, turnips, cresses, and their many relatives",https://en-word.net/id/oewn-11887994-n,family,Cruciferae,family of plants,https://www.wikidata.org/entity/Q10261839,Conflict,FALSE,secondary
genus,Aethionema,Old World genus of the family Cruciferae,https://en-word.net/id/oewn-11890359-n,genus,Aethionema,genus of plants,https://www.wikidata.org/entity/Q159456,Exact,TRUE,
genus,Alliaria,a genus of herbs of the family Cruciferae; have broad leaves and white flowers and long siliques,https://en-word.net/id/oewn-11890681-n,genus,Alliaria,genus of plants,https://www.wikidata.org/entity/Q158968,Exact,TRUE,
genus,Alyssum,"a genus of the family Cruciferae, containing annual and perennial herbaceous plants or small shrubs, growing to 10-100 cm tall, with oblong-oval leaves and yellow or white flowers (Alyssum)",https://en-word.net/id/oewn-11891076-n,genus,Alyssum,genus of plants,https://www.wikidata.org/entity/Q161063,Exact,TRUE,
genus,Anastatica,one species: rose of Jericho; resurrection plant,https://en-word.net/id/oewn-11891385-n,genus,Anastatica,genus of plants,https://www.wikidata.org/entity/Q14559266,Exact,TRUE,
genus,Arabidopsis,a genus of the mustard family having white or yellow or purplish flowers; closely related to genus Arabis,https://en-word.net/id/oewn-11891763-n,genus,Arabidopsis,genus of plants,https://www.wikidata.org/entity/Q157892,Exact,TRUE,
genus,Arabis,"annual to perennial woody herbs of temperate North America, Europe and Asia: rockcress",https://en-word.net/id/oewn-11892385-n,genus,Arabis,genus of plants,https://www.wikidata.org/entity/Q157396,Exact,TRUE,
